home_grid,ses,avg_dis
98198,3,8.425
98199,10,8.515
98200,4,9.172
98201,4,8.659
98778,1,6.414
98779,1,6.475
98783,4,7.257
98784,10,6.877
98797,4,8.161
98799,20,10.683
98800,25,10.858
98802,12,8.509
98833,12,20.194
98834,9,8.085
98835,11,5.845
98836,29,6.075
98837,29,7.579
98838,46,8.15
98839,14,5.704
98841,20,8.801
98842,20,8.441
98848,3,7.354
98849,3,8.282
98892,63,8.199
98896,29,10.078
98897,41,8.82
98898,41,8.342
98914,4,7.396
98915,4,7.554
99493,1,8.277
99498,1,10.351
99511,16,8.393
99512,20,6.42
99513,18,8.928
99514,18,11.001
99515,15,10.286
99516,12,10.956
99547,42,5.998
99548,42,9.063
99549,18,6.535
99550,18,7.354
99553,34,6.642
99555,20,7.038
99556,20,7.897
99557,18,6.721
99606,59,7.983
99607,59,9.779
99610,29,7.623
99612,32,5.101
99628,2,8.028
100208,5,9.666
100209,5,7.616
100211,1,10.348
100212,3,10.334
100213,2,11.087
100219,22,7.182
100225,16,8.938
100226,19,9.761
100229,22,14.026
100230,18,11.243
100262,52,7.838
100264,39,7.147
100268,7,7.802
100269,4,7.956
100270,10,8.537
100271,10,6.501
100282,5,14.172
100283,5,13.406
100304,12,10.374
100305,14,9.526
100320,37,7.099
100321,37,6.445
100323,31,6.246
100324,28,7.708
100326,32,6.606
100327,27,5.317
100341,12,8.71
100342,12,7.58
100343,4,8.226
100926,3,10.926
100927,3,10.626
100930,14,8.754
100932,24,7.076
100939,12,7.662
100940,16,8.27
100943,16,12.051
100976,19,7.811
100977,18,6.96
100982,7,7.818
100983,4,8.136
100988,3,6.332
100996,5,10.694
100997,5,12.938
101018,11,9.616
101019,11,8.762
101020,12,8.824
101024,11,9.729
101034,30,6.488
101035,30,6.24
101036,28,7.116
101037,28,7.702
101038,32,6.111
101039,32,6.769
101040,27,6.394
101041,27,5.598
101042,27,6.125
101056,4,11.26
101057,4,7.337
101638,2,9.105
101642,4,7.27
101644,14,8.378
101645,14,7.889
101647,1,10.716
101654,8,8.831
101655,1,9.315
101656,1,11.493
101690,35,8.458
101691,44,7.981
101694,26,5.995
101695,26,6.308
101696,43,7.551
101698,33,8.118
101699,33,6.5
101713,3,9.888
101732,11,9.246
101734,31,8.728
101737,6,13.931
101738,14,8.245
101739,27,8.346
101753,28,8.714
101754,28,5.709
101755,30,4.936
101756,27,5.722
102353,2,10.586
102356,4,6.843
102361,1,10.445
102368,8,9.259
102369,3,9.186
102370,15,8.661
102371,11,8.673
102372,11,11.352
102405,35,8.917
102410,43,8.77
102412,59,6.281
102413,59,6.699
102427,3,8.367
102428,4,9.702
102448,31,9.758
102468,28,5.622
102469,33,9.543
102470,49,5.956
102471,55,6.143
103067,2,9.583
103070,1,10.628
103074,20,7.804
103075,21,9.473
103076,15,10.235
103082,8,7.149
103083,16,7.276
103084,15,8.281
103085,12,6.983
103086,11,8.413
103125,25,7.819
103126,59,6.496
103127,59,7.338
103133,1,4.272
103134,1,6.674
103211,7,6.749
103212,7,9.246
103213,11,10.187
103784,1,10.431
103785,2,8.753
103786,2,8.181
103789,12,9.219
103790,10,10.578
103791,9,9.664
103833,40,8.891
103834,32,6.551
103835,32,7.303
103836,22,8.316
103837,12,7.866
103838,27,10.256
103840,18,8.218
103841,18,6.829
103926,2,6.809
103927,4,7.537
104498,2,9.624
104499,2,10.54
104502,11,5.768
104503,11,7.633
104515,2,8.05
104548,23,8.849
104550,12,9.502
104551,42,9.676
104552,42,10.563
104553,15,8.262
104555,14,8.519
104556,32,6.074
104583,3,8.992
104591,48,6.022
104641,3,11.524
105229,7,7.886
105262,23,7.802
105264,46,6.599
105265,42,9.17
105266,42,8.889
105297,3,8.094
105303,9,5.264
105304,48,8.012
105305,48,7.479
105335,28,13.009
105943,7,10.538
105967,5,7.798
106017,9,6.684
106035,24,10.481
106057,47,9.66
106680,6,9.419
106681,5,9.69
106729,6,8.088
106730,8,8.054
106731,8,7.57
106773,41,13.34
107394,6,9.517
107395,4,8.337
107408,12,5.102
107409,12,5.237
107410,14,8.065
107411,14,7.775
107412,13,7.765
107440,13,15.24
107443,6,5.0
107444,8,5.466
107445,8,5.971
107458,51,3.833
107459,10,6.742
107460,44,7.168
107461,47,8.423
107462,22,7.502
108107,3,9.311
108108,3,7.738
108110,5,8.398
108111,5,10.267
108122,13,9.239
108123,13,8.946
108124,24,8.027
108126,25,7.571
108147,3,6.299
108152,20,8.071
108154,11,8.215
108155,11,5.653
108171,56,7.975
108172,77,4.891
108173,17,6.495
108174,53,8.676
108175,22,7.876
108176,22,6.45
108211,8,5.785
108776,10,9.809
108824,5,8.631
108825,5,9.47
108836,13,7.75
108838,24,7.777
108840,55,7.654
108841,12,7.79
108868,15,6.914
108886,57,3.966
108887,45,6.75
108888,7,7.845
108889,55,6.619
108891,29,6.35
108892,29,6.969
108924,9,8.623
108925,8,8.938
109490,10,8.947
109539,2,8.017
109550,15,8.142
109554,55,7.414
109555,6,6.978
109556,10,5.058
109561,11,8.85
109562,11,8.731
109563,41,8.403
109564,41,9.249
109604,45,8.402
109605,41,8.737
109607,50,7.331
109608,50,7.782
109611,52,9.173
110263,37,7.839
110264,19,6.755
110265,19,7.234
110266,21,6.346
110268,14,6.223
110269,12,6.479
110270,10,5.652
110271,16,8.112
110273,8,8.881
110274,5,10.493
110275,11,11.743
110276,11,8.053
110278,15,8.352
110279,15,8.107
110297,6,4.648
110315,25,4.113
110316,32,5.231
110317,32,5.575
110319,41,6.509
110320,47,10.65
110321,47,7.0
110322,50,7.916
110323,50,8.745
110979,15,7.213
110980,14,7.189
110982,37,6.749
110983,17,6.578
110984,12,7.491
110988,7,10.136
110990,17,9.95
110992,18,8.503
111010,18,7.727
111011,6,9.189
111012,6,6.927
111028,40,5.344
111029,40,4.801
111030,30,5.815
111034,47,8.232
111035,47,9.061
111036,50,8.87
111037,50,7.352
111654,7,12.675
111684,31,6.905
111685,23,7.149
111693,12,4.965
111694,12,6.832
111695,10,6.077
111696,10,5.599
111697,18,5.921
111698,13,7.076
111703,10,9.145
111704,17,8.347
111722,28,7.842
111723,38,7.564
111724,15,5.842
111735,16,6.826
111737,25,6.347
111741,30,7.1
111742,35,6.818
111743,27,6.98
111744,33,6.497
111745,30,5.82
111746,37,7.828
111747,14,9.193
111748,14,6.014
111772,15,5.206
111773,15,14.737
111775,48,6.479
111776,48,6.685
111777,5,7.407
112350,22,8.758
112351,22,8.749
112368,11,11.966
112409,14,5.658
112411,13,5.391
112417,10,7.746
112418,10,8.104
112423,6,6.075
112436,28,9.134
112438,15,7.675
112449,16,5.988
112450,17,6.819
112451,25,6.73
112452,25,7.71
112455,30,7.251
112456,31,6.476
112457,29,7.253
112458,42,7.844
112459,42,5.752
112460,37,7.539
112461,41,6.913
112462,33,6.728
112464,44,10.504
112465,18,8.974
112486,16,6.492
112490,4,6.047
112491,4,6.453
113065,18,7.884
113082,9,11.834
113083,26,9.721
113123,10,3.66
113124,8,5.669
113125,11,5.665
113136,5,8.129
113137,8,6.857
113150,25,6.95
113151,25,5.913
113153,17,6.539
113154,17,5.707
113160,12,4.528
113161,12,6.531
113162,15,6.919
113164,17,7.41
113165,25,7.043
113166,25,5.939
113170,31,8.05
113172,33,7.347
113173,14,5.6
113174,32,5.424
113175,30,7.018
113176,45,7.721
113177,29,8.618
113178,44,9.757
113179,27,8.379
113200,15,5.212
113201,15,7.885
