visit_grid,ses1_fre,ses2_fre,ses3_fre,ses4_fre
170969,1120.0,1790.0,2599.0,2084.0
170970,563.0,1092.0,2031.0,1775.0
170971,701.0,1374.0,1865.0,1817.0
170972,725.0,1180.0,2993.0,2644.0
170973,1628.0,2095.0,4115.0,2838.0
170974,1281.0,1396.0,4372.0,2980.0
170975,773.0,1215.0,2363.0,1853.0
170976,393.0,480.0,1063.0,663.0
170977,458.0,729.0,1841.0,906.0
170978,596.0,1135.0,2697.0,1605.0
170979,427.0,942.0,2042.0,1242.0
170980,483.0,1000.0,2760.0,1051.0
170981,1128.0,1981.0,5733.0,2236.0
170982,1588.0,3013.0,7739.0,3401.0
170983,1618.0,1969.0,4187.0,1909.0
170984,1286.0,2029.0,4489.0,1831.0
170985,1211.0,1903.0,3714.0,2454.0
170986,1251.0,2063.0,3989.0,2558.0
170987,904.0,2020.0,3149.0,2171.0
170988,873.0,1664.0,4269.0,2173.0
170989,1049.0,1770.0,4488.0,1951.0
170990,1374.0,2672.0,5768.0,2481.0
170991,351.0,1436.0,1535.0,905.0
170992,156.0,388.0,570.0,284.0
170993,132.0,605.0,698.0,266.0
170994,266.0,569.0,977.0,494.0
170995,491.0,1114.0,1349.0,596.0
170996,289.0,806.0,1160.0,540.0
170997,816.0,1744.0,2007.0,1193.0
170998,1599.0,3370.0,2735.0,1547.0
170999,696.0,1890.0,1519.0,843.0
171000,1171.0,2742.0,2730.0,1677.0
171001,1219.0,2843.0,2575.0,1291.0
171002,1338.0,2779.0,3118.0,1647.0
171003,1919.0,4092.0,4173.0,1894.0
171004,1597.0,3245.0,2968.0,1976.0
171005,1260.0,2326.0,1766.0,1324.0
171006,639.0,1260.0,1044.0,602.0
171007,934.0,2156.0,1556.0,993.0
171008,2404.0,4713.0,3410.0,1501.0
171009,1582.0,2595.0,2041.0,1175.0
171010,3025.0,4546.0,3382.0,2444.0
171011,4427.0,5761.0,5729.0,4090.0
171012,2729.0,4709.0,3335.0,2056.0
171013,1414.0,2722.0,1529.0,958.0
171014,678.0,1088.0,678.0,622.0
171015,376.0,395.0,382.0,154.0
171016,521.0,920.0,521.0,118.0
171017,1163.0,1889.0,976.0,457.0
171018,74.0,200.0,90.0,73.0
171019,97.0,126.0,71.0,36.0
171020,33.0,59.0,149.0,48.0
171021,40.0,35.0,62.0,12.0
171022,106.0,22.0,96.0,13.0
171023,34.0,60.0,83.0,20.0
171024,35.0,31.0,31.0,6.0
171025,26.0,24.0,45.0,10.0
171026,32.0,14.0,13.0,7.0
171027,37.0,18.0,89.0,9.0
171028,21.0,49.0,34.0,17.0
171029,57.0,129.0,96.0,38.0
171030,17.0,48.0,16.0,6.0
171031,15.0,33.0,31.0,12.0
171032,17.0,23.0,2.0,12.0
171033,12.0,10.0,19.0,38.0
171034,73.0,50.0,107.0,38.0
171035,107.0,72.0,44.0,9.0
171036,223.0,113.0,103.0,44.0
171037,232.0,113.0,81.0,74.0
171038,48.0,42.0,34.0,20.0
171039,29.0,40.0,20.0,12.0
171040,105.0,73.0,134.0,56.0
171041,195.0,48.0,79.0,61.0
171042,72.0,79.0,141.0,58.0
171043,114.0,58.0,56.0,8.0
171044,31.0,23.0,27.0,18.0
171045,40.0,31.0,33.0,39.0
171046,101.0,26.0,28.0,21.0
171047,102.0,89.0,6.0,9.0
171048,76.0,99.0,9.0,12.0
171049,29.0,21.0,18.0,33.0
171050,34.0,22.0,41.0,8.0
171051,60.0,25.0,11.0,8.0
171052,61.0,44.0,31.0,33.0
171053,38.0,53.0,60.0,14.0
171054,137.0,72.0,112.0,14.0
171055,109.0,178.0,141.0,53.0
171056,154.0,26.0,82.0,60.0
171057,54.0,93.0,38.0,34.0
171058,36.0,29.0,19.0,4.0
171059,21.0,3.0,6.0,5.0
171060,18.0,23.0,6.0,6.0
171061,16.0,24.0,15.0,1.0
171062,37.0,8.0,30.0,13.0
171063,155.0,86.0,42.0,39.0
171064,122.0,34.0,11.0,29.0
171065,468.0,306.0,154.0,232.0
171066,163.0,104.0,62.0,54.0
171067,44.0,12.0,13.0,13.0
171068,60.0,4.0,14.0,67.0
171069,160.0,118.0,52.0,19.0
171070,46.0,14.0,4.0,2.0
171071,84.0,17.0,5.0,7.0
171072,35.0,20.0,10.0,36.0
171073,43.0,7.0,14.0,11.0
171074,71.0,13.0,9.0,7.0
171075,31.0,22.0,7.0,5.0
171076,114.0,40.0,34.0,15.0
171077,327.0,100.0,113.0,92.0
171078,384.0,209.0,70.0,121.0
171079,182.0,36.0,32.0,35.0
171080,57.0,14.0,21.0,16.0
171081,148.0,70.0,29.0,53.0
