visit_grid,isolation_1903,isolation_2403
78112,0.74865292064983,0.6442629815745393
78115,0.8205067380573159,0.454497270366248
78116,0.5268223358469,0.6444444444444444
78118,0.8451234058170473,0.5605075192259419
78119,0.6164449986145747,0.6819474462518484
78120,0.4216678545972915,0.6819111158936835
78822,0.8922046526374193,0.4602298850574713
78825,0.4987025788101727,0.3591705913134485
78832,0.6419322814354813,0.6299615123144535
78833,0.2960174998391559,0.7913007109995817
78834,0.6657570339700762,0.90470954737035
78835,0.4402208004014552,0.5128600030802402
78836,0.3774107778152267,0.8010195113376692
78837,0.8920749734492952,0.4714730684494417
78838,0.47779087348357674,0.5945152623418433
78839,0.5346326118918179,0.5521578460050965
78840,0.7713840224762072,0.31873745002760234
78841,0.4229572672694545,0.4945520426650335
79522,0.2632628415760946,0.4851564963593643
79538,0.818392880175416,0.2808196134765218
79539,0.7172685091789388,0.25349498676682153
79543,0.7733729089192909,0.3489569975207317
79544,0.9151176405233784,0.47337453779924965
79545,0.5661332864427642,0.541745331836343
79546,0.44072962804210125,0.6921899593888323
79547,0.848953718219617,0.8326400633846809
79548,0.5464070151463387,0.9147578247945445
79550,0.3066975653019769,0.9500722027652829
79551,0.6032877967752097,0.694211062531124
79552,0.6498100162977366,0.8785279076657521
79553,0.8442664679952816,0.7981999490988176
79554,0.7089189647890937,0.7277128141647693
79555,0.44429246051131743,0.495207011559429
79556,0.37180513946153315,0.6486194832239841
79557,0.5634832729937786,0.6963974153274242
80223,0.24916892003217708,0.3419614923654023
80236,0.49442732701890524,0.663075236561951
80242,0.736715363621769,0.6935599712712472
80255,0.3532338308457712,0.7389575194453243
80256,0.6605922551252847,0.3593284970238096
80258,0.39088280319782287,0.3985399144699529
80259,0.4041909407036083,0.49464719827260784
80260,0.7766726527605102,0.6013295392046677
80261,0.5155796497922881,0.8861463197687347
80262,0.5570797855566068,0.5892896270651649
80263,0.6309600564919714,0.9312473951499621
80265,0.690434028646224,0.8014834641258171
80266,0.6018266746288963,0.48189607601768253
80267,0.6833865419949859,0.616074197871027
80268,0.5313993073610062,0.8880961559121099
80269,0.7603456553048488,0.5292966863647491
80271,0.5704270235818993,0.7399573209539141
80273,0.6321413826199322,0.5297234560002624
80953,0.549343597319959,0.8850204601864894
80970,0.8923904688700999,0.5908554572271386
80973,0.45740584202122664,0.5032766331135374
80974,0.607762612231751,0.8593796919909056
80977,0.6672584775526682,0.9029560403061608
80978,0.5351620947630922,0.7245288124912255
80979,0.42469311767652507,0.8204268464801621
80980,0.8351416638446777,0.8401812634715629
80981,0.17076336097318573,0.6845281693811432
80982,0.24818597867014108,0.4338907084985347
