home_grid,age,gender,is_local,ses,avg_dis
80264,a2,1,Y,3,3.785
80264,a2,2,Y,3,5.212
80264,a3,1,N,3,8.902
80264,a3,1,Y,3,12.334
80264,a3,2,Y,3,6.904
80264,a4,1,Y,3,2.047
80264,a4,2,Y,3,11.357
80264,a5,1,Y,3,5.403
80264,a6,1,Y,3,25.08
80977,a2,1,Y,3,17.924
80977,a2,2,Y,3,5.638
80977,a3,1,N,3,4.749
80977,a3,1,Y,3,9.738
80977,a3,2,Y,3,8.184
80977,a4,1,N,3,13.338
80977,a4,1,Y,3,4.806
80977,a4,2,Y,3,1.805
80977,a5,1,N,3,1.036
80977,a5,1,Y,3,5.503
80977,a5,2,Y,3,19.251
80977,a6,1,N,3,18.827
80977,a6,1,Y,3,8.936
80977,a6,2,Y,3,27.221
80978,a1,2,Y,3,3.588
80978,a2,1,Y,3,8.568
80978,a2,2,Y,3,7.005
80978,a3,1,N,3,8.984
80978,a3,1,Y,3,10.67
80978,a3,2,Y,3,7.496
80978,a4,1,Y,3,11.323
80978,a4,2,Y,3,6.509
80978,a5,1,N,3,9.683
80978,a5,1,Y,3,5.935
80978,a5,2,Y,3,10.457
80978,a6,1,Y,3,6.029
80979,a2,1,Y,3,6.214
80979,a2,2,Y,3,10.267
80979,a3,1,N,3,12.614
80979,a3,1,Y,3,12.583
80979,a3,2,Y,3,3.6
80979,a4,1,Y,3,5.334
80979,a4,2,Y,3,9.323
80979,a5,1,Y,3,6.584
80979,a5,2,Y,3,21.751
80979,a6,1,Y,3,4.282
80979,a6,2,N,3,2.463
80979,a7,2,Y,3,3.087
81692,a1,1,Y,3,2.924
81692,a2,1,N,3,15.18
81692,a2,1,Y,3,14.878
81692,a2,2,N,3,5.792
81692,a2,2,Y,3,3.629
81692,a3,1,Y,3,15.041
81692,a3,2,N,3,2.577
81692,a3,2,Y,3,14.635
81692,a4,1,N,3,1.965
81692,a4,1,Y,3,7.028
81692,a4,2,Y,3,10.579
81692,a5,1,Y,3,8.03
81692,a6,1,Y,3,10.42
81692,a6,2,Y,3,7.66
83133,a1,1,Y,4,1.351
83133,a1,2,Y,4,15.734
83133,a2,1,Y,4,11.99
83133,a2,2,Y,4,12.482
83133,a3,1,N,4,17.599
83133,a3,1,Y,4,11.31
83133,a3,2,N,4,21.069
83133,a3,2,Y,4,14.407
83133,a4,1,N,4,4.686
83133,a4,1,Y,4,11.127
83133,a4,2,Y,4,9.591
83133,a5,1,N,4,10.277
83133,a5,1,Y,4,8.947
83133,a5,2,Y,4,9.664
83133,a6,1,N,4,17.273
83133,a6,1,Y,4,11.048
83133,a6,2,Y,4,10.458
83133,a7,1,Y,4,10.242
83133,a7,2,Y,4,9.169
83846,a1,1,Y,4,3.834
83846,a1,2,N,4,5.823
83846,a2,1,Y,4,14.728
83846,a2,2,N,4,29.102
83846,a2,2,Y,4,13.197
83846,a3,1,N,4,17.978
83846,a3,1,Y,4,11.231
83846,a3,2,Y,4,11.876
83846,a4,1,N,4,13.118
83846,a4,1,Y,4,15.112
83846,a4,2,N,4,23.722
83846,a4,2,Y,4,9.855
83846,a5,1,N,4,12.789
83846,a5,1,Y,4,8.475
