fnid,shopping_mall_count,library_count,museum_count,hospital_count,gym_count,university_count,park_count,outdoor_count,bus_station_count,subway_station_count,train_station_count,geometry
80264,6,0,0,1,0,0,0,0,7,0,0,POINT (439031.7105667636 4394290.24184781)
80977,11,0,0,1,0,0,0,0,9,0,0,POINT (438782.5862380336 4394542.350740885)
80978,9,0,0,1,0,0,0,0,9,0,0,POINT (439033.6934289864 4394540.355857538)
80979,9,0,0,1,0,0,0,0,8,0,0,POINT (439284.800461655 4394538.369175817)
81692,9,0,0,1,0,0,0,0,9,0,0,POINT (439035.6763854759 4394790.46990764)
83133,3,0,0,0,0,0,0,0,10,0,0,POINT (442303.7139282576 4395265.50972644)
83846,3,0,0,0,0,0,0,0,12,0,0,POINT (442054.5168692993 4395517.512078837)
83847,3,0,0,0,0,0,0,0,7,0,0,POINT (442305.5909659054 4395515.623690671)
84560,3,0,0,0,0,0,0,0,8,2,0,POINT (442056.4021667614 4395767.626222582)
84561,3,0,0,0,0,0,0,0,7,0,0,POINT (442307.4680935951 4395765.737806428)
85269,0,0,0,0,0,0,2,0,4,3,0,POINT (440802.9985598405 4396027.30558838)
85271,2,0,0,0,0,0,1,0,7,3,0,POINT (441305.1141997902 4396023.454890252)
85273,3,0,0,0,0,0,0,0,9,3,1,POINT (441807.2298114456 4396019.636996352)
85279,8,0,0,0,0,1,0,0,24,0,0,POINT (443313.576014955 4396008.380142618)
85280,9,0,0,2,0,1,0,0,21,0,0,POINT (443564.6335470479 4396006.53270485)
85983,0,0,0,0,0,0,1,0,2,3,0,POINT (440804.9248889884 4396277.41989933)
85984,0,0,0,0,0,0,1,0,5,3,0,POINT (441055.9745740949 4396275.490420914)
85987,3,0,0,0,0,0,0,0,9,6,1,POINT (441809.1234582322 4396269.751193742)
85988,4,0,0,0,0,0,0,0,10,4,1,POINT (442060.1730296274 4396267.854520666)
85993,8,0,0,3,0,2,0,0,23,0,0,POINT (443315.4206385747 4396258.49417331)
85994,10,0,0,3,0,1,0,0,25,0,0,POINT (443566.4700001862 4396256.646708182)
86643,11,0,0,1,1,4,0,0,11,1,0,POINT (427250.5624629922 4396643.907376181)
86654,0,0,0,0,0,0,0,0,3,0,0,POINT (430012.0363083399 4396618.262015174)
