home_grid,young_ratio,old_ratio,male_ratio,local_ratio
80264,0.44696969696969696,0.11363636363636363,0.6439393939393939,0.9393939393939394
80977,0.4,0.2,0.72,1.0
80978,0.43287937743190663,0.10311284046692606,0.6060311284046692,0.9085603112840467
80979,0.4589285714285714,0.0625,0.5892857142857143,0.8982142857142857
81692,0.4430379746835443,0.1518987341772152,0.5822784810126582,0.9240506329113924
83132,0.2,0.0,0.8,0.8
83133,0.4528301886792453,0.018867924528301886,0.5849056603773585,0.9811320754716981
83846,0.35294117647058826,0.14705882352941177,0.6764705882352942,0.9117647058823529
83847,0.5,0.0,0.6363636363636364,0.9090909090909091
84559,0.75,0.0,0.5,0.625
84560,0.37777777777777777,0.06666666666666667,0.6222222222222222,0.9111111111111111
84561,0.36477987421383645,0.11949685534591195,0.5786163522012578,0.9119496855345912
85269,0.5967741935483871,0.052995391705069124,0.5783410138248848,0.8663594470046083
85271,0.5735294117647058,0.04411764705882353,0.5294117647058824,0.7941176470588235
85273,0.59375,0.03125,0.546875,0.8125
85279,0.37362637362637363,0.08791208791208792,0.4945054945054945,0.8461538461538461
85280,0.5151515151515151,0.07878787878787878,0.6242424242424243,0.8787878787878788
85983,0.6643835616438356,0.07534246575342465,0.5273972602739726,0.8082191780821918
85984,0.7,0.05,0.6,0.8107142857142857
85987,0.6053811659192825,0.06726457399103139,0.547085201793722,0.874439461883408
85988,0.5509259259259259,0.06018518518518518,0.6342592592592593,0.8518518518518519
85993,0.4250871080139373,0.09581881533101046,0.5871080139372822,0.9076655052264808
85994,0.459915611814346,0.08016877637130802,0.5864978902953587,0.9029535864978903
86631,0.5609756097560976,0.056910569105691054,0.6097560975609756,0.9105691056910569
86643,0.58,0.13,0.57,0.9
86654,0.6129032258064516,0.03225806451612903,0.5161290322580645,1.0
86655,0.5934959349593496,0.09349593495934959,0.5487804878048781,0.926829268292683
86656,0.5145228215767634,0.1037344398340249,0.5892116182572614,0.941908713692946
86701,0.5849056603773585,0.03773584905660377,0.660377358490566,0.8490566037735849
86702,0.5722222222222222,0.044444444444444446,0.5277777777777778,0.8722222222222222
86707,0.4401805869074492,0.08577878103837472,0.5914221218961625,0.9435665914221218
86708,0.36704119850187267,0.13108614232209737,0.6441947565543071,0.947565543071161
86710,0.34146341463414637,0.10365853658536585,0.6402439024390244,0.9024390243902439
86711,0.40869565217391307,0.06956521739130435,0.6869565217391305,0.9130434782608695
87350,0.5689655172413793,0.03017241379310345,0.6637931034482759,0.8663793103448276
87351,0.6206896551724138,0.04827586206896552,0.6413793103448275,0.8344827586206897
87354,0.4641350210970464,0.09282700421940929,0.6392405063291139,0.9240506329113924
87365,0.725925925925926,0.05185185185185185,0.6,0.8962962962962963
87368,0.5650224215246636,0.03587443946188341,0.5067264573991032,0.8968609865470852
87369,0.45471014492753625,0.1213768115942029,0.5778985507246377,0.9184782608695652
87370,0.4909090909090909,0.15454545454545454,0.6318181818181818,0.9090909090909091
87417,0.5112781954887218,0.03759398496240601,0.5827067669172933,0.924812030075188
87418,0.5017123287671232,0.0821917808219178,0.565068493150685,0.8835616438356164
87420,0.5170731707317073,0.04878048780487805,0.5853658536585366,0.975609756097561
87421,0.4632352941176471,0.09558823529411764,0.5330882352941176,0.9411764705882353
87422,0.42718446601941745,0.07766990291262135,0.5679611650485437,0.9174757281553398
87423,0.40816326530612246,0.12244897959183673,0.5204081632653061,0.9489795918367347
88059,0.4612141652613828,0.06323777403035413,0.6264755480607083,0.8988195615514334
88064,0.45982142857142855,0.07142857142857142,0.6383928571428571,0.8839285714285714
88065,0.6644951140065146,0.03257328990228013,0.6710097719869706,0.9006514657980456
