home_grid,ses,avg_dis
80264,3,8.103
80977,3,9.624
80978,3,8.999
80979,3,7.335
81692,3,10.071
83133,4,11.143
83846,4,12.089
83847,2,11.45
84560,11,13.883
84561,11,10.739
85269,9,10.477
85271,1,13.701
85273,3,12.08
85279,2,10.521
85280,2,10.477
85983,9,12.681
85984,9,15.647
85987,6,10.322
85988,3,13.418
85993,2,9.433
85994,2,10.967
86643,8,7.663
86654,3,11.242
86655,3,10.182
86656,20,12.205
86701,6,9.746
86702,3,11.015
86707,2,10.898
86708,2,11.426
86710,2,11.895
86711,2,9.857
87350,2,11.163
87351,2,12.544
87354,3,12.112
87365,12,11.056
87368,3,12.004
87369,10,8.697
87370,20,10.26
87417,5,9.591
87418,5,12.049
87420,3,12.426
87421,3,10.733
87422,3,10.37
87423,3,9.556
88059,2,11.421
88064,2,11.114
88065,1,12.732
88069,2,11.709
88070,2,14.351
88071,3,14.191
88079,12,16.373
88083,19,7.128
88132,12,13.119
88133,8,13.478
88134,8,11.666
88135,3,11.646
88136,10,9.129
88137,3,9.173
88772,2,14.512
88773,2,13.617
88775,5,9.881
88776,5,12.135
88779,2,14.205
88780,1,15.575
88781,2,13.299
88782,2,12.292
88783,1,12.029
88785,1,12.696
88789,13,14.202
88790,13,14.144
88793,14,17.813
88837,6,12.839
88838,6,4.085
88839,6,6.353
88840,6,10.685
88843,19,10.284
88844,19,11.216
88845,10,12.862
88846,12,13.164
88847,8,10.964
88848,8,10.228
89485,6,13.477
89486,6,14.489
89487,2,15.061
89489,2,9.436
89491,3,10.854
89492,1,12.73
89493,2,14.011
89494,2,14.542
89495,2,14.906
89499,1,14.811
89552,6,8.373
89553,6,12.318
89554,6,10.169
89557,19,10.829
89558,19,12.919
89559,15,14.159
89562,2,10.961
89563,3,10.83
89564,3,10.994
90199,1,10.42
90200,1,10.842
90201,1,12.294
90202,2,9.841
90203,2,10.553
90204,1,11.688
90205,2,12.542
90206,1,13.288
90208,2,11.897
90209,3,12.812
90210,8,10.762
90214,4,13.085
90221,1,17.789
90270,5,11.521
90271,23,11.221
90272,16,12.386
90273,6,13.14
90274,6,13.808
90277,4,9.989
90913,1,7.318
90914,1,9.243
90915,1,10.863
90916,1,11.365
90917,4,11.553
90918,1,11.045
90919,2,12.56
90920,2,13.568
90921,2,11.619
90922,2,11.246
90923,1,12.775
90924,1,9.071
90925,1,10.595
90928,2,12.646
90937,18,17.313
90938,18,15.323
90939,24,15.494
90984,13,10.569
90985,15,10.644
90986,17,11.954
