visit_grid,ses1_fre,ses2_fre,ses3_fre,ses4_fre
78108,9.0,10.0,10.0,4.0
78109,21.0,8.0,3.0,0.0
78110,101.0,23.0,28.0,13.0
78111,29.0,4.0,4.0,1.0
78112,21.0,4.0,2.0,2.0
78113,50.0,2.0,3.0,10.0
78114,51.0,10.0,6.0,22.0
78115,23.0,7.0,1.0,4.0
78116,18.0,3.0,1.0,4.0
78117,20.0,1.0,3.0,4.0
78118,40.0,2.0,10.0,2.0
78119,19.0,4.0,2.0,2.0
78120,27.0,3.0,3.0,4.0
78817,7.0,0.0,1.0,1.0
78818,9.0,0.0,0.0,1.0
78819,9.0,2.0,0.0,2.0
78820,28.0,4.0,0.0,1.0
78821,25.0,12.0,11.0,4.0
78822,9.0,0.0,8.0,2.0
78823,33.0,5.0,2.0,12.0
78824,74.0,53.0,51.0,4.0
78825,52.0,17.0,4.0,14.0
78826,16.0,6.0,0.0,3.0
78827,66.0,7.0,4.0,0.0
78828,35.0,4.0,1.0,2.0
78829,25.0,3.0,2.0,0.0
78830,32.0,18.0,1.0,4.0
78831,109.0,9.0,27.0,35.0
78832,148.0,15.0,15.0,18.0
78833,48.0,4.0,4.0,1.0
78834,44.0,3.0,0.0,3.0
78835,18.0,2.0,1.0,13.0
78836,22.0,1.0,0.0,4.0
78837,21.0,7.0,21.0,2.0
78838,84.0,30.0,1.0,5.0
78839,72.0,9.0,14.0,23.0
78840,193.0,59.0,58.0,50.0
78841,506.0,112.0,95.0,71.0
79516,15.0,2.0,3.0,1.0
79517,25.0,7.0,3.0,5.0
79518,57.0,18.0,11.0,6.0
79519,126.0,48.0,27.0,25.0
79520,50.0,16.0,9.0,5.0
79521,55.0,12.0,12.0,11.0
79522,361.0,99.0,27.0,104.0
79523,184.0,48.0,38.0,49.0
79524,28.0,12.0,5.0,12.0
79525,8.0,4.0,1.0,2.0
79526,19.0,1.0,1.0,3.0
79527,7.0,2.0,0.0,0.0
79528,7.0,2.0,0.0,0.0
79529,9.0,0.0,0.0,0.0
79530,11.0,1.0,0.0,0.0
79531,19.0,1.0,1.0,1.0
79532,17.0,3.0,2.0,1.0
79533,8.0,2.0,0.0,2.0
79534,22.0,2.0,2.0,2.0
79535,19.0,5.0,9.0,8.0
79536,13.0,3.0,4.0,2.0
79537,23.0,4.0,14.0,2.0
79538,216.0,50.0,64.0,92.0
79539,67.0,14.0,10.0,17.0
79540,28.0,7.0,15.0,6.0
79541,62.0,4.0,9.0,7.0
79542,43.0,27.0,5.0,2.0
79543,91.0,33.0,35.0,16.0
79544,221.0,44.0,17.0,32.0
79545,365.0,38.0,43.0,51.0
79546,174.0,25.0,12.0,9.0
79547,81.0,12.0,1.0,5.0
79548,196.0,2.0,3.0,9.0
79549,204.0,5.0,10.0,3.0
79550,173.0,6.0,0.0,4.0
79551,317.0,44.0,6.0,10.0
79552,160.0,9.0,8.0,7.0
79553,178.0,15.0,2.0,12.0
79554,289.0,25.0,24.0,29.0
79555,452.0,136.0,73.0,114.0
79556,428.0,84.0,50.0,27.0
79557,428.0,57.0,51.0,63.0
80203,90.0,11.0,11.0,12.0
80204,37.0,8.0,1.0,3.0
80205,32.0,12.0,3.0,3.0
80206,68.0,11.0,1.0,13.0
80207,51.0,0.0,2.0,3.0
80208,29.0,4.0,42.0,6.0
80209,36.0,1.0,2.0,5.0
80210,81.0,12.0,17.0,5.0
80211,52.0,22.0,6.0,3.0
80212,109.0,8.0,7.0,4.0
80213,176.0,20.0,22.0,17.0
80214,114.0,20.0,22.0,22.0
80215,89.0,7.0,7.0,11.0
80216,117.0,26.0,24.0,4.0
80217,112.0,11.0,36.0,40.0
80218,84.0,4.0,31.0,2.0
80219,25.0,3.0,2.0,3.0
80220,12.0,0.0,0.0,4.0
80221,20.0,3.0,1.0,2.0
80222,26.0,1.0,1.0,3.0
80223,119.0,23.0,37.0,21.0
80224,50.0,19.0,8.0,13.0
80225,26.0,0.0,0.0,1.0
80226,15.0,2.0,3.0,5.0
80227,17.0,0.0,0.0,2.0
80228,20.0,0.0,1.0,2.0
80229,15.0,2.0,2.0,3.0
80230,22.0,2.0,2.0,3.0
80231,20.0,8.0,5.0,10.0
80232,61.0,17.0,5.0,10.0
80233,213.0,74.0,55.0,36.0
80234,58.0,21.0,6.0,9.0
80235,40.0,10.0,6.0,1.0
80236,186.0,32.0,18.0,19.0
80237,168.0,31.0,43.0,51.0
80238,79.0,11.0,12.0,23.0
80239,20.0,0.0,0.0,0.0
80240,27.0,0.0,0.0,1.0
80241,6.0,0.0,0.0,0.0
80242,13.0,3.0,0.0,4.0
80243,12.0,2.0,1.0,0.0
80244,18.0,1.0,1.0,1.0
80245,11.0,2.0,0.0,1.0
80246,2.0,1.0,0.0,1.0
80247,6.0,1.0,1.0,0.0
80248,7.0,2.0,3.0,0.0
80249,9.0,2.0,0.0,4.0
80250,16.0,2.0,0.0,2.0
80251,11.0,9.0,3.0,2.0
80252,43.0,15.0,33.0,1.0
80253,70.0,17.0,2.0,3.0
80254,19.0,4.0,3.0,1.0
80255,96.0,12.0,8.0,11.0
80256,129.0,57.0,52.0,8.0
80257,65.0,25.0,2.0,9.0
80258,172.0,82.0,30.0,33.0
80259,169.0,12.0,43.0,24.0
80260,182.0,13.0,27.0,10.0
80261,122.0,5.0,10.0,4.0
80262,124.0,8.0,58.0,4.0
80263,410.0,16.0,6.0,6.0
80264,866.0,102.0,55.0,56.0
80265,2515.0,169.0,248.0,117.0
80266,416.0,108.0,75.0,38.0
80267,324.0,43.0,52.0,18.0
80268,391.0,38.0,19.0,14.0
80269,320.0,145.0,64.0,24.0
80270,634.0,80.0,46.0,58.0
80271,216.0,51.0,12.0,15.0
80272,322.0,140.0,42.0,41.0
80273,256.0,37.0,18.0,54.0
80913,18.0,2.0,0.0,2.0
80914,9.0,8.0,3.0,1.0
80915,24.0,2.0,1.0,2.0
80916,47.0,5.0,1.0,5.0
80917,44.0,6.0,17.0,26.0
80918,101.0,6.0,13.0,10.0
80919,63.0,7.0,10.0,13.0
80920,74.0,11.0,3.0,24.0
80921,639.0,50.0,71.0,55.0
80922,600.0,90.0,124.0,34.0
80923,251.0,8.0,19.0,52.0
80924,165.0,8.0,5.0,32.0
80925,48.0,27.0,4.0,17.0
80926,66.0,11.0,3.0,39.0
80927,45.0,4.0,21.0,12.0
80928,77.0,37.0,66.0,11.0
80929,282.0,24.0,8.0,11.0
80930,127.0,41.0,5.0,40.0
80931,114.0,1.0,9.0,9.0
80932,161.0,14.0,25.0,52.0
80933,51.0,2.0,1.0,0.0
80934,20.0,0.0,0.0,0.0
80935,5.0,0.0,1.0,1.0
80936,20.0,1.0,0.0,0.0
80937,56.0,17.0,24.0,41.0
80938,74.0,35.0,34.0,21.0
80939,67.0,4.0,5.0,12.0
80940,38.0,5.0,9.0,1.0
80941,25.0,6.0,1.0,2.0
80942,13.0,0.0,0.0,3.0
80943,41.0,6.0,0.0,0.0
80944,20.0,2.0,2.0,2.0
80945,41.0,0.0,8.0,3.0
80946,47.0,27.0,8.0,10.0
80947,96.0,26.0,13.0,22.0
80948,34.0,11.0,8.0,2.0
80949,40.0,2.0,1.0,1.0
80950,52.0,4.0,3.0,5.0
80951,173.0,19.0,11.0,12.0
80952,128.0,33.0,21.0,15.0
80953,44.0,1.0,1.0,5.0
80954,5.0,2.0,0.0,0.0
80955,5.0,2.0,2.0,2.0
80956,5.0,2.0,1.0,0.0
80957,6.0,4.0,0.0,0.0
80958,2.0,2.0,0.0,0.0
80959,6.0,0.0,2.0,0.0
80962,6.0,0.0,1.0,2.0
80963,4.0,4.0,3.0,1.0
80964,10.0,6.0,0.0,1.0
80965,8.0,2.0,0.0,18.0
80966,8.0,0.0,1.0,1.0
80967,29.0,1.0,4.0,4.0
80968,7.0,5.0,2.0,1.0
80969,28.0,9.0,0.0,4.0
80970,40.0,0.0,4.0,16.0
80971,6.0,0.0,0.0,4.0
80972,64.0,6.0,0.0,10.0
80973,130.0,32.0,13.0,6.0
80974,121.0,10.0,10.0,1.0
80975,68.0,16.0,2.0,6.0
80976,102.0,10.0,3.0,5.0
80977,726.0,25.0,43.0,2.0
80978,4072.0,340.0,185.0,253.0
80979,4057.0,368.0,231.0,204.0
80980,1667.0,60.0,71.0,74.0
80981,495.0,42.0,31.0,84.0
80982,207.0,72.0,40.0,16.0
80983,47.0,9.0,5.0,13.0
80984,123.0,32.0,6.0,9.0
80985,252.0,33.0,30.0,15.0
80986,159.0,39.0,13.0,15.0
80987,116.0,29.0,5.0,17.0
80988,166.0,16.0,16.0,7.0
80989,515.0,36.0,30.0,35.0
80990,523.0,52.0,70.0,25.0
80991,209.0,40.0,29.0,37.0
81626,15.0,7.0,9.0,4.0
81627,27.0,11.0,11.0,4.0
81628,18.0,6.0,1.0,6.0
81629,13.0,3.0,2.0,1.0
81630,17.0,3.0,3.0,7.0
81631,27.0,2.0,0.0,7.0
81632,64.0,9.0,13.0,7.0
81633,149.0,13.0,26.0,2.0
81634,126.0,18.0,5.0,20.0
81635,452.0,94.0,50.0,22.0
81636,261.0,24.0,14.0,48.0
81637,137.0,6.0,20.0,65.0
81638,100.0,8.0,7.0,17.0
81639,155.0,15.0,38.0,37.0
81640,1076.0,111.0,115.0,106.0
81641,190.0,6.0,5.0,33.0
81642,203.0,16.0,15.0,35.0
81643,235.0,23.0,26.0,25.0
81644,357.0,25.0,81.0,65.0
81645,221.0,3.0,32.0,76.0
81646,241.0,16.0,17.0,25.0
81647,85.0,6.0,24.0,6.0
81648,10.0,5.0,1.0,4.0
81649,11.0,8.0,0.0,2.0
81650,16.0,2.0,1.0,5.0
81651,36.0,13.0,17.0,16.0
81652,66.0,13.0,16.0,32.0
81653,74.0,25.0,12.0,18.0
81654,100.0,29.0,20.0,10.0
81655,214.0,93.0,37.0,28.0
81656,60.0,26.0,59.0,19.0
81657,106.0,24.0,40.0,23.0
81658,56.0,10.0,18.0,7.0
81659,30.0,7.0,1.0,2.0
81660,76.0,26.0,14.0,11.0
81661,133.0,23.0,24.0,23.0
81662,100.0,18.0,5.0,12.0
81663,62.0,11.0,3.0,3.0
81664,113.0,27.0,7.0,7.0
81665,266.0,36.0,16.0,152.0
81666,553.0,125.0,74.0,49.0
81667,1203.0,83.0,124.0,98.0
81668,35.0,4.0,0.0,6.0
81669,21.0,0.0,2.0,1.0
81670,10.0,1.0,1.0,0.0
81671,9.0,1.0,0.0,0.0
81672,4.0,0.0,0.0,2.0
81673,8.0,0.0,0.0,1.0
81674,2.0,2.0,1.0,1.0
81675,6.0,0.0,0.0,1.0
81676,112.0,97.0,36.0,27.0
81677,36.0,7.0,10.0,2.0
81678,15.0,3.0,5.0,2.0
81679,9.0,2.0,3.0,9.0
81680,7.0,1.0,3.0,1.0
81681,7.0,3.0,7.0,1.0
81682,4.0,0.0,4.0,1.0
81683,12.0,0.0,2.0,1.0
81684,47.0,10.0,14.0,2.0
81685,9.0,2.0,0.0,0.0
81686,19.0,0.0,1.0,2.0
81687,46.0,3.0,2.0,3.0
81688,97.0,9.0,1.0,3.0
81689,62.0,6.0,8.0,1.0
81690,56.0,7.0,2.0,4.0
81691,199.0,21.0,1.0,6.0
81692,1653.0,160.0,24.0,84.0
81693,1670.0,146.0,67.0,55.0
81694,591.0,76.0,43.0,35.0
81695,600.0,52.0,20.0,14.0
81696,294.0,52.0,22.0,29.0
81697,195.0,9.0,5.0,10.0
81698,240.0,24.0,15.0,29.0
81699,349.0,66.0,47.0,23.0
81700,478.0,67.0,34.0,76.0
81701,354.0,50.0,31.0,41.0
81702,135.0,25.0,5.0,24.0
81703,796.0,90.0,24.0,53.0
81704,434.0,54.0,65.0,49.0
81705,191.0,77.0,39.0,12.0
81706,150.0,24.0,15.0,41.0
81707,176.0,29.0,33.0,15.0
81708,181.0,12.0,33.0,11.0
81709,191.0,39.0,37.0,24.0
81710,162.0,25.0,27.0,16.0
82339,9.0,6.0,4.0,2.0
82340,38.0,0.0,0.0,3.0
82341,51.0,0.0,6.0,9.0
82342,29.0,2.0,4.0,6.0
82343,31.0,1.0,3.0,1.0
82344,19.0,11.0,1.0,1.0
82345,35.0,6.0,1.0,3.0
82346,19.0,3.0,2.0,2.0
82347,32.0,1.0,18.0,7.0
82348,88.0,6.0,24.0,23.0
82349,335.0,10.0,52.0,17.0
82350,230.0,44.0,45.0,4.0
82351,355.0,63.0,43.0,92.0
82352,133.0,8.0,26.0,35.0
82353,105.0,21.0,3.0,5.0
82354,389.0,48.0,31.0,44.0
82355,1160.0,116.0,220.0,206.0
82356,479.0,27.0,11.0,41.0
82357,315.0,20.0,12.0,20.0
82358,553.0,20.0,27.0,51.0
82359,507.0,54.0,92.0,50.0
82360,223.0,47.0,11.0,30.0
82361,92.0,3.0,7.0,21.0
82362,41.0,6.0,11.0,5.0
82363,20.0,0.0,7.0,0.0
82364,17.0,2.0,3.0,0.0
82365,29.0,7.0,7.0,8.0
82366,59.0,29.0,10.0,6.0
82367,227.0,34.0,12.0,12.0
82368,395.0,47.0,36.0,7.0
82369,402.0,22.0,20.0,43.0
82370,326.0,73.0,31.0,51.0
82371,264.0,33.0,20.0,10.0
82372,30.0,46.0,5.0,5.0
82373,60.0,15.0,10.0,22.0
82374,101.0,17.0,15.0,13.0
82375,83.0,26.0,15.0,5.0
82376,59.0,27.0,25.0,13.0
82377,121.0,49.0,6.0,12.0
82378,305.0,53.0,15.0,8.0
82379,413.0,78.0,80.0,72.0
82380,424.0,60.0,61.0,42.0
82381,200.0,14.0,9.0,13.0
82382,12.0,0.0,1.0,1.0
82383,3.0,0.0,1.0,0.0
82385,2.0,0.0,1.0,1.0
82386,4.0,0.0,2.0,0.0
82387,4.0,1.0,1.0,4.0
82389,3.0,0.0,0.0,3.0
82390,38.0,13.0,3.0,4.0
82391,43.0,45.0,11.0,13.0
82392,20.0,3.0,1.0,7.0
82393,15.0,6.0,2.0,2.0
82394,4.0,4.0,3.0,0.0
82395,1.0,1.0,2.0,5.0
82396,6.0,2.0,1.0,0.0
82397,1.0,3.0,1.0,0.0
82398,9.0,1.0,1.0,1.0
82399,6.0,1.0,8.0,1.0
82400,13.0,0.0,1.0,2.0
82401,11.0,0.0,1.0,0.0
82402,13.0,2.0,1.0,3.0
82403,58.0,42.0,3.0,4.0
82404,128.0,16.0,11.0,6.0
82405,355.0,15.0,7.0,4.0
82406,841.0,75.0,9.0,10.0
82407,317.0,23.0,8.0,7.0
82408,204.0,2.0,6.0,5.0
82409,204.0,11.0,3.0,30.0
82410,345.0,13.0,18.0,35.0
82411,250.0,11.0,16.0,7.0
82412,559.0,49.0,38.0,19.0
82413,909.0,135.0,56.0,39.0
82414,611.0,114.0,54.0,35.0
82415,562.0,116.0,50.0,33.0
82416,484.0,83.0,12.0,26.0
82417,299.0,47.0,30.0,18.0
82418,501.0,49.0,13.0,56.0
82419,277.0,26.0,22.0,36.0
82420,245.0,59.0,23.0,36.0
82421,223.0,60.0,9.0,36.0
82422,280.0,20.0,21.0,13.0
82423,247.0,28.0,10.0,125.0
82424,275.0,36.0,20.0,116.0
82425,144.0,39.0,21.0,23.0
82426,226.0,27.0,21.0,12.0
82427,274.0,34.0,21.0,85.0
83053,35.0,5.0,6.0,0.0
83054,43.0,4.0,2.0,10.0
83055,68.0,5.0,1.0,10.0
83056,38.0,1.0,2.0,1.0
83057,16.0,1.0,0.0,2.0
83058,38.0,0.0,4.0,2.0
83059,25.0,2.0,3.0,1.0
83060,12.0,3.0,0.0,3.0
83061,132.0,15.0,0.0,8.0
83062,72.0,3.0,18.0,10.0
83063,277.0,8.0,55.0,15.0
83064,192.0,28.0,31.0,22.0
83065,150.0,37.0,4.0,6.0
83066,249.0,21.0,2.0,63.0
83067,119.0,20.0,28.0,31.0
83068,241.0,9.0,12.0,12.0
83069,1212.0,171.0,78.0,37.0
83070,253.0,2.0,14.0,10.0
83071,229.0,9.0,4.0,14.0
83072,617.0,6.0,14.0,60.0
83073,509.0,22.0,5.0,34.0
83074,223.0,26.0,15.0,12.0
83075,320.0,85.0,18.0,24.0
83076,86.0,6.0,0.0,10.0
83077,6.0,2.0,0.0,0.0
83078,10.0,2.0,2.0,0.0
83079,35.0,2.0,2.0,1.0
83080,58.0,4.0,1.0,1.0
83081,57.0,4.0,10.0,6.0
83082,156.0,10.0,7.0,9.0
83083,148.0,9.0,14.0,1.0
83084,216.0,25.0,12.0,13.0
83085,287.0,9.0,34.0,19.0
83086,432.0,30.0,37.0,62.0
83087,130.0,7.0,5.0,19.0
83088,71.0,10.0,8.0,9.0
83089,71.0,6.0,12.0,8.0
83090,59.0,10.0,2.0,13.0
83091,78.0,11.0,4.0,17.0
83092,137.0,11.0,5.0,7.0
83093,341.0,40.0,52.0,21.0
83094,235.0,116.0,30.0,19.0
83095,67.0,9.0,18.0,67.0
83096,3.0,1.0,4.0,0.0
83101,1.0,0.0,0.0,2.0
83104,46.0,2.0,3.0,3.0
83105,144.0,37.0,4.0,1.0
83106,16.0,3.0,6.0,0.0
83107,5.0,24.0,0.0,0.0
83108,11.0,1.0,0.0,0.0
83109,3.0,5.0,0.0,1.0
83110,5.0,0.0,1.0,0.0
83112,18.0,0.0,0.0,2.0
83113,6.0,0.0,7.0,1.0
83114,7.0,0.0,0.0,2.0
83116,9.0,0.0,1.0,0.0
83117,21.0,2.0,0.0,0.0
83118,101.0,63.0,2.0,10.0
83119,139.0,62.0,5.0,23.0
83120,270.0,4.0,1.0,1.0
83121,94.0,14.0,4.0,13.0
83122,112.0,4.0,1.0,5.0
83123,116.0,8.0,0.0,0.0
83124,164.0,1.0,2.0,3.0
83125,131.0,14.0,6.0,2.0
83126,626.0,79.0,34.0,29.0
83127,854.0,94.0,40.0,33.0
83128,448.0,60.0,40.0,17.0
83129,376.0,38.0,14.0,21.0
83130,533.0,41.0,18.0,25.0
83131,543.0,74.0,27.0,35.0
83132,237.0,9.0,19.0,9.0
83133,347.0,26.0,4.0,52.0
83134,453.0,33.0,27.0,15.0
83135,174.0,42.0,29.0,20.0
83136,265.0,13.0,14.0,22.0
83137,249.0,18.0,23.0,7.0
83138,100.0,21.0,28.0,8.0
83139,223.0,34.0,6.0,51.0
83140,182.0,7.0,11.0,4.0
83141,296.0,24.0,9.0,8.0
83142,405.0,58.0,19.0,13.0
83143,979.0,116.0,109.0,73.0
83144,139.0,49.0,11.0,9.0
83766,174.0,4.0,7.0,13.0
83767,72.0,15.0,11.0,5.0
83768,35.0,1.0,11.0,13.0
83769,19.0,6.0,10.0,33.0
83770,41.0,14.0,11.0,12.0
83771,25.0,6.0,5.0,5.0
83772,29.0,5.0,2.0,6.0
83773,48.0,5.0,2.0,6.0
83774,40.0,5.0,6.0,4.0
83775,95.0,8.0,5.0,7.0
83776,189.0,131.0,8.0,7.0
83777,201.0,13.0,8.0,41.0
83778,265.0,35.0,40.0,45.0
83779,265.0,42.0,11.0,9.0
83780,257.0,53.0,33.0,20.0
83781,172.0,96.0,6.0,32.0
83782,460.0,15.0,2.0,5.0
83783,607.0,22.0,13.0,35.0
83784,381.0,14.0,21.0,11.0
83785,608.0,12.0,23.0,12.0
83786,265.0,6.0,2.0,19.0
83787,268.0,77.0,31.0,15.0
83788,346.0,23.0,17.0,29.0
83789,124.0,12.0,8.0,14.0
83790,598.0,72.0,31.0,22.0
83791,135.0,24.0,7.0,4.0
83792,21.0,5.0,0.0,1.0
83793,44.0,9.0,2.0,9.0
83794,46.0,6.0,6.0,1.0
83795,102.0,4.0,8.0,2.0
83796,109.0,7.0,8.0,3.0
83797,90.0,10.0,6.0,4.0
83798,81.0,7.0,11.0,6.0
83799,323.0,48.0,6.0,11.0
83800,1450.0,133.0,59.0,191.0
83801,528.0,95.0,17.0,78.0
83802,274.0,25.0,18.0,21.0
83803,139.0,14.0,12.0,16.0
83804,54.0,10.0,13.0,15.0
83805,161.0,9.0,5.0,4.0
83806,132.0,11.0,9.0,5.0
83807,1264.0,174.0,137.0,121.0
83808,579.0,59.0,35.0,35.0
83809,143.0,22.0,17.0,8.0
83810,66.0,17.0,2.0,3.0
83811,3.0,14.0,3.0,2.0
83812,5.0,2.0,1.0,1.0
83813,3.0,1.0,0.0,0.0
83815,2.0,1.0,0.0,1.0
83817,5.0,0.0,0.0,1.0
83818,7.0,3.0,2.0,1.0
83819,109.0,7.0,23.0,8.0
83820,91.0,2.0,3.0,2.0
83821,14.0,2.0,13.0,1.0
83822,116.0,16.0,64.0,13.0
83823,11.0,5.0,32.0,1.0
83824,2.0,2.0,0.0,1.0
83825,8.0,0.0,2.0,0.0
83826,10.0,1.0,0.0,0.0
83827,12.0,0.0,0.0,0.0
83828,7.0,2.0,3.0,1.0
83829,13.0,1.0,0.0,2.0
83830,12.0,2.0,3.0,3.0
83831,25.0,0.0,2.0,1.0
83832,143.0,21.0,2.0,18.0
83833,136.0,67.0,3.0,49.0
83834,268.0,13.0,12.0,4.0
83835,228.0,4.0,7.0,6.0
83836,54.0,4.0,4.0,3.0
83837,87.0,8.0,0.0,1.0
83838,153.0,22.0,4.0,3.0
83839,404.0,35.0,13.0,37.0
83840,772.0,58.0,27.0,17.0
83841,576.0,58.0,40.0,28.0
83842,349.0,47.0,30.0,15.0
83843,298.0,54.0,69.0,23.0
83844,362.0,55.0,34.0,21.0
83845,579.0,117.0,49.0,23.0
83846,529.0,70.0,54.0,21.0
83847,635.0,150.0,46.0,34.0
83848,554.0,87.0,16.0,21.0
83849,595.0,65.0,30.0,48.0
83850,767.0,53.0,37.0,31.0
83851,306.0,20.0,12.0,25.0
83852,258.0,61.0,11.0,24.0
83853,536.0,90.0,150.0,41.0
83854,193.0,34.0,29.0,17.0
83855,263.0,11.0,41.0,5.0
83856,268.0,46.0,26.0,12.0
83857,318.0,42.0,40.0,49.0
83858,81.0,47.0,31.0,20.0
83859,70.0,12.0,2.0,8.0
84480,85.0,5.0,32.0,27.0
84481,107.0,10.0,2.0,8.0
84482,33.0,1.0,8.0,5.0
84483,9.0,2.0,7.0,5.0
84484,70.0,8.0,45.0,4.0
84485,60.0,8.0,12.0,1.0
84486,38.0,15.0,5.0,9.0
84487,41.0,5.0,5.0,13.0
84488,62.0,9.0,5.0,8.0
84489,55.0,10.0,4.0,8.0
84490,144.0,71.0,20.0,17.0
84491,1378.0,558.0,580.0,390.0
84492,393.0,20.0,13.0,20.0
84493,288.0,22.0,18.0,17.0
84494,160.0,21.0,45.0,12.0
84495,250.0,41.0,99.0,35.0
84496,363.0,10.0,20.0,15.0
84497,943.0,182.0,42.0,16.0
84498,1525.0,64.0,63.0,24.0
84499,451.0,28.0,37.0,30.0
84500,190.0,9.0,5.0,9.0
84501,238.0,19.0,11.0,19.0
84502,234.0,18.0,53.0,55.0
84503,240.0,19.0,9.0,104.0
84504,511.0,191.0,61.0,32.0
84505,547.0,49.0,59.0,37.0
84506,1285.0,98.0,145.0,118.0
84507,2156.0,50.0,279.0,165.0
84508,256.0,16.0,129.0,214.0
84509,43.0,1.0,1.0,14.0
84510,92.0,6.0,1.0,1.0
84511,134.0,10.0,4.0,13.0
84512,153.0,8.0,0.0,9.0
84513,368.0,6.0,266.0,35.0
84514,589.0,41.0,65.0,45.0
84515,565.0,75.0,46.0,60.0
84516,221.0,17.0,19.0,19.0
84517,174.0,13.0,10.0,15.0
84518,44.0,5.0,6.0,6.0
84519,70.0,5.0,4.0,4.0
84520,174.0,27.0,1.0,6.0
84521,313.0,63.0,22.0,12.0
84522,289.0,35.0,14.0,15.0
84523,43.0,3.0,16.0,10.0
84524,25.0,7.0,10.0,29.0
84525,11.0,3.0,0.0,4.0
84526,2.0,2.0,3.0,0.0
84527,0.0,2.0,1.0,4.0
84528,1.0,0.0,2.0,0.0
84529,12.0,1.0,1.0,1.0
84530,2.0,0.0,1.0,3.0
84531,6.0,0.0,0.0,0.0
84532,1.0,0.0,2.0,0.0
84533,71.0,12.0,4.0,9.0
84534,97.0,1.0,1.0,2.0
84535,10.0,3.0,5.0,0.0
84536,5.0,7.0,6.0,0.0
84537,4.0,1.0,0.0,0.0
84538,9.0,1.0,0.0,1.0
84539,41.0,0.0,0.0,1.0
84540,2.0,1.0,0.0,0.0
84541,3.0,0.0,0.0,0.0
84542,8.0,2.0,0.0,0.0
84543,8.0,0.0,2.0,2.0
84544,23.0,6.0,1.0,1.0
84545,94.0,14.0,7.0,1.0
84546,197.0,14.0,6.0,6.0
84547,107.0,1.0,3.0,21.0
84548,86.0,1.0,2.0,5.0
84549,101.0,7.0,0.0,14.0
84550,59.0,9.0,3.0,5.0
84551,122.0,3.0,2.0,4.0
84552,178.0,14.0,6.0,5.0
84553,887.0,162.0,113.0,98.0
84554,1614.0,518.0,288.0,768.0
84555,1448.0,427.0,205.0,943.0
84556,617.0,149.0,180.0,139.0
84557,379.0,39.0,25.0,141.0
84558,301.0,51.0,19.0,14.0
84559,528.0,51.0,20.0,37.0
84560,817.0,55.0,76.0,31.0
84561,1225.0,146.0,38.0,52.0
84562,1089.0,80.0,37.0,63.0
84563,1431.0,140.0,61.0,83.0
84564,837.0,37.0,63.0,46.0
84565,713.0,41.0,38.0,109.0
84566,771.0,56.0,33.0,27.0
84567,758.0,76.0,38.0,29.0
84568,506.0,45.0,43.0,26.0
84569,556.0,42.0,31.0,25.0
84570,293.0,39.0,28.0,25.0
84571,185.0,21.0,15.0,12.0
84572,169.0,30.0,18.0,24.0
84573,54.0,12.0,4.0,11.0
84574,49.0,17.0,6.0,8.0
84575,37.0,6.0,2.0,15.0
85194,206.0,7.0,67.0,27.0
85195,134.0,2.0,9.0,2.0
85196,11.0,3.0,3.0,2.0
85197,10.0,4.0,3.0,4.0
85198,49.0,0.0,2.0,2.0
85199,30.0,1.0,0.0,1.0
85200,20.0,1.0,1.0,3.0
85201,33.0,0.0,0.0,12.0
85202,28.0,5.0,7.0,9.0
85203,38.0,6.0,4.0,10.0
85204,315.0,30.0,21.0,52.0
85205,440.0,213.0,88.0,42.0
85206,223.0,16.0,52.0,27.0
85207,361.0,62.0,43.0,88.0
85208,259.0,16.0,8.0,4.0
85209,369.0,26.0,55.0,14.0
85210,321.0,16.0,30.0,45.0
85211,371.0,68.0,99.0,49.0
85212,1128.0,109.0,169.0,95.0
85213,856.0,111.0,186.0,142.0
85214,564.0,59.0,39.0,54.0
85215,549.0,115.0,265.0,55.0
85216,360.0,71.0,8.0,60.0
