visit_grid,isolation
135991,0.12290028090667655
90989,0.5164549716794393
186665,0.21945334746823897
97414,0.5015108414852932
133878,0.21552873942849118
95264,0.4219562964302608
93130,0.62207752296246
73769,0.5618796281707893
142391,0.04027093229336084
80344,0.7310434131086305
83821,0.7179194352159468
107409,0.4164819520282569
170937,0.30319778511954387
108890,0.3332121895549155
87348,0.6407666201967366
103784,0.42213701635727263
92350,0.691706051865435
93778,0.6877838159755825
100342,0.22208567794234962
101634,0.8638087012120227
167378,0.3965221142113666
62335,0.1831921027046017
100931,0.7197328802935907
103788,0.670416585744805
155984,0.22655602997897345
96700,0.5863874358867395
151722,0.21188991979296695
138123,0.15010221809141555
142387,0.2028522000752163
90212,0.8590153319524858
90916,0.6483675260437642
202367,0.3034180764866288
106692,0.5471933522300555
120828,0.914876476906552
95205,0.7451305776258004
75872,0.6348223970561986
143104,0.11739642661646077
95985,0.4496902567987238
92416,0.5720261808998707
138077,0.2580463661616933
91639,0.6551335560213181
202459,0.09753945198664819
100945,0.4540825667644774
131707,0.24450258572276548
84500,0.4750729159601168
202461,0.1541231591439472
207397,0.37331898628849536
98129,0.5084897645369555
142417,0.08690716809533622
87421,0.5244311785064005
165945,0.2585189510207416
123842,0.17854010211280275
88051,0.759481773766215
82328,0.5048664907352232
138116,0.2870543608860759
64317,0.4293590386974462
94491,0.7861569045771916
111652,0.3368383617486571
114558,0.28405635013332753
78080,0.7499787487249234
79631,0.5192275980343657
145239,0.2520304269404989
73846,0.422883857812095
101698,0.4022713737487432
150334,0.20539574777509365
156698,0.2224162218953982
145305,0.26910263522074107
140252,0.22779327233389798
88072,0.4902844773174719
100220,0.48976581570443334
92417,0.5770764854373375
148835,0.17639680652901585
92414,0.42822871712708144
163123,0.37349702937660073
118848,0.2901522616678778
98117,0.42785568468384333
80157,0.4821093523397468
93077,0.28231226477089433
71025,0.2534101102844177
108833,0.4532820138259
240238,0.11944846648637848
78925,0.38950912924791997
96687,0.3423753918820004
148841,0.33805419152795835
144568,0.11901113644436359
96698,0.4482516593623406
133817,0.2589386114065031
148121,0.1847261499229189
158865,0.1556657530937993
202313,0.4430203323130739
296077,0.1150617473565988
132429,0.13821825458674292
107360,0.558117480696714
99560,0.4127311095417656
110345,0.4265721701140397
74443,0.7191714241629377
178163,0.13932828282828283
93064,0.7610068853927612
103068,0.3454277612409036
130920,0.19707426397802225
132380,0.11460733290450852
162374,0.27711337550253895
96697,0.3280014707018908
152401,0.3390171112625683
95255,0.3288215123623895
106047,0.23144325925306825
121696,0.3397249879881451
156675,0.1909946286435995
38918,0.2279651250187904
150242,0.08771613832853023
174586,0.24340621263180784
147407,0.1530539871663077
294659,0.14399179862845998
90968,0.4749873789526826
94560,0.5073308496658349
150936,0.21492931421574352
157416,0.27938261794115943
162352,0.15015156983585873
56858,0.12437610099823843
152502,0.39036114580101533
92419,0.5387713898736529
94561,0.49206174965413935
148932,0.47817325977361097
109549,0.3020666912846531
100991,0.3652418780093519
95267,0.433811515522928
120987,0.3304211849701974
96681,0.29393605203419576
38125,0.7438455983719555
97407,0.5751665911255173
111694,0.3837313102245944
151802,0.4865336832751926
160162,0.18532547833494453
185966,0.271288064101358
219059,0.2565862131282504
99561,0.450413415615462
121112,0.4218615537069393
71626,0.39571881906273026
95214,0.712421317254721
117351,0.2289963600249224
100985,0.41047148360263497
97415,0.48287602847130134
128119,0.24936714854362604
107474,0.41649401818478016
140378,0.5357222916066224
155270,0.22436132846826384
45856,0.3674604977125986
144472,0.07174070643199483
93844,0.594538990132652
110263,0.3333424894452758
100276,0.39170392951438177
111692,0.38632132403602304
145992,0.13846935902930066
93878,0.4328406624516373
87335,0.6348884299520806
125222,0.5037823106051696
88060,0.4986651430335737
97413,0.5393081362018491
146743,0.32475565664497086
87430,0.605841892600475
89562,0.45938240777797457
104616,0.2737395878463884
155291,0.17113873337013968
110321,0.2932151029330725
66798,0.3891486519310177
215342,0.18717348225544944
151698,0.2704846484497523
213804,0.18159491101737504
98918,0.40952526937338
97471,0.4407238494744287
209583,0.41518741998583303
99612,0.3595996481460262
90920,0.7621439502448726
101689,0.24475414314907754
75862,0.30360231364654516
100324,0.23478367188906285
81742,0.5235844446209201
158098,0.42134597582151534
151007,0.1654305844836285
151717,0.14787066097045842
154595,0.21303306942092828
173079,0.13385896850904655
189471,0.21954228080029436
138111,0.1745226718361364
111036,0.2300581115290404
102359,0.7378844516391202
147373,0.07427397312351106
141705,0.09515012179434548
143859,0.1343764907464198
177358,0.5519284582223065
211757,0.5526723122091514
110981,0.2549464519458008
48766,0.18270208819481842
51066,0.06812420173470625
113891,0.29796530216798883
136037,0.31430301256120924
139580,0.15340620788616513
64691,0.33440100383040544
111778,0.5715956025785999
157414,0.32271353002625247
98834,0.2979245990079933
180930,0.36189409514210014
210242,0.21134199481306576
155267,0.29569473958676645
147436,0.10632534697763157
146702,0.11795781008544401
120291,0.30752510403950667
138155,0.14774379229368279
169493,0.15756974660865114
157397,0.15462817556600178
113121,0.35094570551140136
174549,0.17925293966995026
102451,0.36801063713825605
123151,0.2792578193152908
101685,0.18259010873629772
114576,0.38943697522075726
161668,0.35133264559789945
168148,0.16387487217389968
170297,0.20667872347551308
110979,0.31526127306067564
118131,0.37210398779529075
109550,0.3898318305809524
86624,0.7353385156658585
114560,0.26324773258056705
120284,0.48361478640034766
104550,0.4264667477936861
110274,0.29415185802035265
105979,0.44675235905728633
135260,0.12918074590610137
152452,0.21132238622407412
164603,0.17091904054478219
105267,0.4822725273932431
117439,0.29243525466072334
90985,0.48171161650736305
177398,0.21627409282154536
112432,0.4907518160997571
104577,0.22728352709219973
132345,0.2934840327622329
116686,0.3479612980010898
155289,0.13236945865971048
92420,0.6110616413462238
123108,0.3068164964073264
144564,0.13856045673698547
147421,0.09987607239173633
139583,0.13605794062987225
109551,0.4632214216992553
147443,0.16352357235823403
153097,0.14047532205977803
131745,0.14772390138167374
114574,0.2715621046614747
177527,0.15466090282266753
99631,0.22336762351582073
108194,0.08278678690688047
148134,0.15347477278491808
108823,0.24083248596057405
148847,0.2305357663115051
133147,0.2539603496171657
131760,0.525313796761555
226816,0.3430445352782453
149532,0.25006941900377316
152346,0.26025895791950016
196025,0.19736136686790517
113835,0.5947865357376911
117405,0.6314343403065971
115289,0.3331800698668788
150995,0.1679342357390853
121033,0.1664526134683888
102487,0.3033713671885094
112501,0.6322215984485047
137406,0.14400097532609582
113855,0.2516870547298412
108865,0.5355415900321456
184517,0.26503642518349385
116030,0.38681105512839403
147442,0.1988054974189678
115352,0.38372401885915397
141072,0.4242386603299291
125277,0.2422742535653587
118076,0.39022875373336957
