fnid,shopping_mall_count,library_count,museum_count,hospital_count,gym_count,university_count,park_count,outdoor_count,bus_station_count,subway_station_count,train_station_count
78108,3,0,0,0,0,0,0,0,12,0,0
78109,3,0,0,0,0,0,0,0,13,0,0
78110,3,0,0,0,0,0,0,0,14,0,0
78111,4,0,0,1,0,0,0,0,15,0,0
78112,8,0,0,1,0,0,0,0,22,0,0
78113,8,0,0,1,0,0,0,0,23,0,0
78114,8,0,0,1,0,0,0,0,23,0,0
78115,8,0,0,1,0,0,0,0,23,0,0
78116,8,0,0,1,0,0,0,0,22,0,0
78117,7,0,0,1,0,0,0,0,22,0,0
78118,7,0,0,1,0,0,0,0,22,0,0
78119,7,0,0,1,0,0,1,0,21,0,0
78120,7,0,0,1,0,0,1,0,21,0,0
78817,4,0,0,1,0,0,0,0,12,0,0
78818,4,0,0,0,0,0,1,0,14,0,0
78819,4,0,0,0,0,0,1,0,12,0,0
78820,4,0,0,0,0,0,1,0,11,0,0
78821,3,0,0,0,0,0,1,0,12,0,0
78822,3,0,0,0,0,0,1,0,12,0,0
78823,3,0,0,0,0,0,0,0,13,0,0
78824,3,0,0,0,0,0,0,0,15,0,0
78825,7,0,0,1,0,0,0,0,20,0,0
78826,9,0,0,1,0,0,0,0,23,0,0
78827,9,0,0,1,0,0,0,0,23,0,0
78828,9,0,0,1,0,0,0,0,23,0,0
78829,9,0,0,1,0,0,0,0,23,0,0
78830,9,0,0,1,0,0,0,0,24,0,0
78831,8,0,0,1,0,0,0,0,22,0,0
78832,7,0,0,1,0,0,1,0,22,0,0
78833,7,0,0,1,0,0,1,0,21,0,0
78834,10,0,0,1,0,0,2,0,21,0,0
78835,12,0,0,1,0,0,2,0,26,0,0
78836,14,0,0,1,0,0,2,0,26,2,0
78837,14,0,0,1,0,0,2,0,29,2,0
78838,15,0,0,1,0,0,2,0,31,2,0
78839,16,0,0,1,0,0,2,0,33,2,0
78840,18,0,0,2,0,0,2,0,33,2,0
78841,19,0,0,2,0,0,2,0,35,2,0
79516,5,0,0,1,0,4,1,1,15,0,0
79517,5,0,0,1,0,3,1,1,15,0,0
79518,5,0,0,1,0,2,0,1,14,0,0
79519,5,0,0,1,0,1,0,1,11,0,0
79520,5,0,0,1,0,0,0,1,10,0,0
79521,5,0,0,1,0,0,0,1,8,0,0
79522,5,0,0,1,0,0,0,1,8,0,0
79523,5,0,0,1,0,0,0,1,10,0,0
79524,4,0,0,1,0,0,0,1,8,0,0
79525,3,0,0,1,0,0,0,0,8,0,0
79526,3,0,0,1,0,0,0,0,9,0,0
79527,4,0,0,1,0,0,0,0,9,0,0
79528,4,0,0,1,0,0,0,0,10,0,0
79529,4,0,0,1,0,0,1,0,10,0,0
79530,4,0,0,1,0,0,1,0,12,0,0
79531,4,0,0,1,0,0,1,0,12,0,0
79532,4,0,0,1,0,0,1,0,14,0,0
79533,4,0,0,0,0,0,1,0,15,0,0
79534,5,0,0,0,0,0,1,0,12,0,0
79535,3,0,0,0,0,0,1,0,12,0,0
79536,3,0,0,0,0,0,1,0,12,0,0
79537,3,0,0,0,0,0,1,0,13,0,0
79538,5,0,0,1,0,0,1,0,17,0,0
79539,8,0,0,1,0,0,1,0,21,0,0
79540,10,0,0,1,0,0,0,0,23,0,0
79541,10,0,0,1,0,0,0,0,23,0,0
79542,10,0,0,1,0,0,0,0,23,0,0
79543,10,0,0,1,0,0,0,0,23,0,0
79544,10,0,0,1,0,0,0,0,24,0,0
79545,10,0,0,1,0,0,0,0,24,0,0
79546,9,0,0,1,0,0,1,0,22,0,0
79547,11,0,0,1,0,0,1,0,21,0,0
79548,13,0,0,1,0,0,2,0,22,0,0
79549,14,0,0,1,0,0,2,0,27,1,0
79550,15,0,0,1,0,0,2,0,29,2,0
79551,15,0,0,1,0,0,2,0,29,2,0
79552,16,0,0,1,0,0,2,0,34,2,0
79553,17,0,0,2,0,0,2,0,35,2,0
79554,19,0,0,2,0,0,2,0,38,2,0
79555,19,0,0,2,0,0,2,0,41,2,0
79556,19,0,0,2,0,0,2,0,39,2,0
79557,19,0,0,2,0,0,2,0,39,2,0
80203,5,0,0,1,2,0,3,0,21,1,0
80204,5,0,0,1,2,0,5,0,24,1,0
80205,7,0,0,1,2,0,4,0,26,1,0
80206,10,0,0,1,2,0,4,0,27,1,0
80207,10,0,0,2,3,0,4,1,27,1,0
80208,13,0,0,4,3,0,5,1,28,3,0
80209,13,0,0,4,3,0,6,1,31,3,0
80210,13,0,0,3,2,0,5,1,30,2,0
80211,12,0,0,3,2,3,5,1,27,2,0
80212,12,0,0,4,2,4,5,1,29,2,0
80213,12,0,0,4,2,10,5,1,30,3,0
80214,13,0,0,5,1,12,5,1,30,4,0
80215,16,0,0,3,1,17,6,2,31,3,0
80216,17,0,0,3,1,17,6,2,27,2,0
80217,20,0,0,3,1,17,6,2,25,2,0
80218,20,0,0,3,1,17,6,2,26,2,0
80219,17,0,0,2,1,17,6,2,26,2,0
80220,18,0,0,2,1,17,7,2,29,2,0
80221,17,0,0,2,1,17,7,2,28,1,0
80222,17,0,0,1,0,17,7,2,26,1,0
80223,18,0,0,0,0,17,7,2,23,1,0
80224,13,0,0,1,0,17,7,2,22,1,0
80225,13,0,0,1,0,15,6,2,23,1,0
80226,11,0,0,1,0,15,3,2,21,1,0
80227,10,0,0,1,0,15,3,2,20,1,0
80228,7,0,0,1,0,11,3,2,18,0,0
80229,6,0,0,1,0,10,3,2,16,0,0
80230,6,0,0,1,0,6,2,1,15,0,0
