home_grid,ses,entropy
80264,3,7.2557899746111785
80977,3,4.828323115092019
80978,3,8.310761948757058
80979,3,7.9280937786041425
81692,3,6.292086831817727
83133,4,5.816418741782302
83846,4,5.063395499273142
83847,2,4.906077136898792
84560,11,5.551205995467346
84561,11,6.750366972454001
85269,9,7.813780762372858
85271,1,6.232108637053075
85273,3,6.102591905478079
85279,2,6.30718266912414
85280,2,6.8439301445846965
85983,9,7.005084123452697
85984,9,7.416149913242922
85987,6,7.151046469240196
85988,3,7.026434911408096
85993,2,7.879141688186208
85994,2,7.302955258882479
86643,8,6.598370674181535
86654,3,5.762208575659239
86655,3,7.2504884905805
86656,20,7.402812157483379
86701,6,6.471661019647887
86702,3,6.978118761326993
86707,2,7.72745885275599
86708,2,7.340354208778161
86710,2,6.867114680859969
86711,2,6.261104025574369
87350,2,6.797420056134936
87351,2,6.5987505453198985
87354,3,7.76055237924847
87365,12,7.113075724606318
87368,3,7.200912319428838
87369,10,8.124387117596584
87370,20,7.380603214030381
87417,5,7.233059743346445
87418,5,7.840377053235919
87420,3,7.033188628714726
87421,3,7.294382177518363
87422,3,7.73600188813135
87423,3,6.524193759905218
88059,2,8.319556138006359
88064,2,6.95244184474322
88065,1,7.89742874030695
88069,2,7.60417817528456
88070,2,7.4432486831957405
88071,3,6.942739126907733
88079,12,6.788566056032577
88083,19,7.385072235430015
88132,12,7.233563395727115
88133,8,7.213045509753581
88134,8,7.101935629234642
88135,3,7.791683441607808
88136,10,7.571358685461238
88137,3,7.788305325944554
88772,2,7.0834910910158735
88773,2,7.749396686954838
88775,5,7.023017335842496
88776,5,6.569768139865905
88779,2,7.391868872157318
88780,1,8.476963790462015
88781,2,6.904860931264298
88782,2,6.062784471770405
88783,1,6.442311061701574
88785,1,6.878608987610046
88789,13,8.144678290859357
88790,13,8.90505699321235
88793,14,7.499807484574548
88837,6,6.406452593532809
88838,6,4.907554281094676
88839,6,5.760452472426014
88840,6,6.071220965416208
88843,19,7.182406154339837
88844,19,7.8573264451573905
88845,10,7.464652309244032
88846,12,6.675103688324053
88847,8,7.225804920438049
88848,8,7.223664857497858
89485,6,6.925602116855292
89486,6,6.908840535725082
89487,2,6.435086836474072
89489,2,6.854095561797344
89491,3,7.055639882314056
89492,1,6.243167076632855
89493,2,7.459583628604483
89494,2,8.226764573346191
89495,2,7.0509314596273835
89499,1,6.702522560004306
89552,6,6.411107184224054
89553,6,5.849042687680325
89554,6,5.819138314227624
89557,19,7.852092948974896
89558,19,7.973147672772313
89559,15,7.895800950181299
89562,2,7.985908772355588
89563,3,7.659091847501998
89564,3,8.102495424264344
90199,1,7.114353795189952
90200,1,7.4317060191488995
90201,1,6.156515840951018
90202,2,7.175522515504579
90203,2,6.948719724415328
90204,1,6.6436143348396595
90205,2,7.239808516272049
90206,1,7.364564472372552
90208,2,7.688474981644384
90209,3,7.523937545335189
90210,8,6.449578951890665
90214,4,6.349069483183969
90221,1,7.322005558784198
90270,5,8.383049770682524
90271,23,7.7901032593630966
90272,16,8.03053749354916
90273,6,8.093906222450489
90274,6,8.569693212344625
90277,4,7.593074581222242
90913,1,6.9997956690114
90914,1,7.954967884775841
90915,1,7.109138760473267
90916,1,7.327024685254446
90917,4,7.581103523803491
90918,1,7.426789381077361
90919,2,7.549176535119793
90920,2,7.370610266488486
90921,2,7.193603103567409
90922,2,7.521587321262165
90923,1,7.615542224998175
90924,1,7.481526537363864
90925,1,7.153403274806969
90928,2,7.031989056450788
90937,18,7.214368285170449
90938,18,6.4229998294099335
90939,24,6.44580234876187
90984,13,8.38994225273715
90985,15,8.445481591713335
90986,17,8.002624908119481
90989,3,8.293549545745364
90990,3,7.4389223328691365
90992,5,7.9373571075485145
91627,1,6.337907833912267
91628,1,7.1561169024221725
91629,1,7.72844139291197
91630,10,7.517364593157172
91631,2,7.154059416395178
91632,3,7.86858411026846
91633,2,8.041371586542402
91634,2,7.322738753111027
91635,2,7.391398838037348
91636,1,6.992919909235148
91637,1,8.235132112879885
91638,1,9.39669224671949
91639,1,7.655187920749751
91642,2,7.543008875680883
91649,12,6.576196333338997
91650,12,7.58557008410126
91651,13,7.621007116028631
91652,13,7.5418178507032
91653,23,7.752330992934784
91654,23,7.261236164180438
91698,7,8.094960620461922
91699,19,8.57013260134444
91700,17,7.436090087633119
91703,11,8.333603135581743
91704,9,7.605694432566713
91706,4,7.793663432338672
91714,12,7.5422525203435615
92343,1,5.284958110256776
92345,1,6.958840678164927
92347,1,7.706781747634201
92348,2,7.370743970348336
92349,2,7.068605040156363
92350,2,6.809532046751514
92351,2,7.452292676628444
92352,1,8.011101332763179
92357,17,7.366581031047295
92358,17,6.9707922214501155
92364,12,6.978466520283782
92365,11,6.9420240609577935
92366,11,7.938444309713772
92367,27,8.36771038134351
92411,10,6.759987619981624
92412,7,7.9831120111331835
92413,29,7.8134785114414695
92414,27,8.012826687412328
92415,7,8.262767068090659
92416,7,7.497562869591717
92418,14,6.98753893883723
92419,3,7.245822550887786
92420,9,8.382841080737933
92421,9,8.0239564714115
92422,5,7.938355005335957
92428,13,8.448733996357566
92429,12,6.336293779328938
93057,2,4.678691681034774
93059,1,7.681728812226688
93063,2,6.997921339024844
93064,2,6.8083578874404695
93065,1,6.972464236484614
93066,2,7.326977858661072
93067,1,7.465441692915126
93071,17,7.6446265262289215
93072,17,7.56164674716923
93079,9,6.19991538546868
93080,20,7.155477830301738
93081,24,7.33620779282059
93127,21,6.656828038973218
93128,21,7.7575774280335885
93129,5,8.670347141041912
93130,5,7.085260210342197
93133,2,7.056163371195954
93134,6,7.994710026579669
93773,1,7.107924477748332
93774,1,7.414109011848865
93776,1,6.462830478059173
93777,2,7.136428480807914
93778,1,7.781717277668378
93779,2,7.934649938541085
93780,1,7.26073861696417
93781,1,7.23650952812322
93782,1,6.492367454678071
93784,2,6.30628898408586
93785,2,6.938178234821892
93793,4,6.495779983591206
93794,4,7.068591965762561
93843,5,7.957717206757082
93844,5,7.34695502168449
93845,4,7.418924320968736
93846,13,7.5416896104798425
93847,2,7.416466452168402
93848,3,8.276076908916963
93850,3,8.011342115445299
93851,3,7.37698317124182
93856,4,6.811673288762596
94488,1,6.486363742448244
94493,1,7.42125745162738
94494,1,7.643409907419087
94498,2,6.1644340386518035
94499,2,5.792536724378304
94504,4,7.955734451906301
94505,1,7.035764862586026
94507,4,7.595366500814466
94508,4,6.4343121784615995
94558,12,7.838876873876581
94562,8,7.515978621561082
94570,5,6.410775839456492
95204,2,7.50257617295638
95205,6,7.130708525968618
95206,6,6.506471378874773
95207,1,6.829484346827728
95218,4,7.43199637546985
95264,28,6.7067574372702605
95265,15,6.4262266460186375
95266,4,7.936353007314003
95272,12,7.4664846577590485
95274,3,7.666980931748906
95275,3,7.228609063934056
95276,45,7.238758832826491
95282,13,6.596132705640006
95283,13,7.5208816373030025
95917,1,6.876413057670581
95918,1,8.076589494152655
95919,1,8.600335134410422
95921,1,7.240187810601068
95923,1,7.015200943619886
95924,1,7.02190519020425
95925,1,7.07368856227185
95928,16,5.815073029153464
95929,16,5.995010891319904
95933,6,7.4075827046557325
95978,12,7.675218987005621
95979,4,7.930262682474227
95980,4,7.750739636080458
95981,18,7.423472992155678
95986,12,8.337127090494501
95988,4,8.073346512157622
96036,79,5.483576496459983
96037,79,8.160516547531246
96054,12,6.177133072227875
96055,12,6.843579151159252
96056,13,6.651201624698002
96062,2,7.463432881194299
96632,1,6.8839555587522385
96633,1,7.4129433657994
96636,1,7.726792465555733
96637,1,7.466503869404768
96638,1,6.824343248242383
96639,1,7.239303014312057
96645,3,6.1589279277113285
96646,3,7.457069234504282
96647,1,6.808516219650375
96692,6,7.744373978123127
96693,6,7.902752783735491
96694,18,7.452669749362623
96695,18,7.4357869220594
96698,12,7.921602854262296
96699,22,8.026697842311478
96700,22,8.69879723329875
96701,6,8.104193023241042
96702,4,7.792658252397416
96710,4,7.873513594409368
96711,4,7.7908432346848615
96770,13,7.401360791171861
96771,8,6.5532968592872605
96773,18,7.478155535597768
96774,18,7.013576151623788
96776,2,7.260423625778302
97347,1,6.709191127642378
97348,1,7.387336148686357
97349,1,7.742860484706678
97351,1,7.113790045621643
97360,1,8.341873565908891
97407,10,8.241845392996215
97408,18,8.021122907622226
97409,18,8.02704171497659
97410,6,7.4619778409192286
97411,9,7.697594366387516
97412,23,8.385497121856124
97413,23,8.094637670253901
97414,22,8.45799898313847
97415,6,8.513783528943405
97416,7,7.556742610531969
97424,4,6.53833517952517
97425,4,7.8960945243333835
97464,72,5.626558039837954
97465,72,7.922129619844473
97466,66,8.157360871660071
97484,3,7.303431896944782
97487,18,7.986892542089859
97488,18,8.258883677722402
98062,3,6.994076904158336
98063,4,6.644221383457781
98064,1,7.159872522162384
98069,3,6.23442767665105
98070,3,5.790007558136889
98083,4,7.496466550712352
98086,25,6.350150828618503
98119,5,9.098736729971165
98120,9,8.13397872691224
98121,11,8.822096970770584
98122,29,7.787068433835124
98123,29,7.904680817941487
98124,25,7.946971839969708
98125,17,8.403276924058645
98126,30,8.414621116275462
98127,23,8.899718265276467
98128,8,8.533708945358429
98129,6,8.510593410188072
98130,7,7.6188467365526575
98138,7,8.055452134084138
98178,63,6.571268415185909
98180,59,7.860252795210166
98198,3,6.814449979893812
98199,10,7.5934007967908235
98200,4,8.237160609609921
98201,4,7.717636890031469
98778,1,6.785569108683648
98779,1,6.661226978116945
98783,4,7.431201724365314
98784,10,6.827076031133387
98797,4,7.124418027555031
98799,20,7.379058577527836
98800,25,7.868661936270064
98802,12,7.480944400541691
98833,12,8.65228299937939
98834,9,7.899288564229792
98835,11,7.98671796742169
98836,29,7.4247377961094525
98837,29,7.4333906265302545
98838,46,8.369852276605712
98839,14,7.893497016718341
98841,20,8.521458609283039
98842,20,8.6751678069068
98848,3,6.961051896906097
