visit_grid,ses2,distance
80210,1,13872
80210,2,30844
80210,3,33382
80210,4,32303
80211,1,11781
80211,2,28690
80211,3,31306
80211,4,31260
80212,1,12521
80212,2,29264
80212,3,29964
80212,4,32504
80213,1,12216
80213,2,26672
80213,3,34158
80213,4,31676
80214,1,12903
80214,2,28343
80214,3,32028
80214,4,31298
80215,1,13788
80215,2,28860
80215,3,31267
80215,4,31117
80216,1,13791
80216,2,28626
80216,3,31521
80216,4,30906
80217,1,11632
80217,2,30058
80217,3,34451
80217,4,29440
80218,1,15151
80218,2,26154
80218,3,28196
80218,4,32158
80219,1,10869
80219,2,30198
80219,3,30678
80219,4,32414
80220,1,10790
80220,2,31899
80220,3,30304
80220,4,29240
80221,1,11626
80221,2,29818
80221,3,29664
80221,4,31565
80222,1,11830
80222,2,25479
80222,3,29490
80222,4,28939
80223,1,9624
80223,2,25500
80223,3,28820
80223,4,29752
80224,1,13924
80224,2,26070
80224,3,29146
80224,4,29700
80225,1,11779
80225,2,26184
80225,3,25211
80225,4,28433
80226,1,8651
80226,2,29092
80226,3,29439
80226,4,30511
80227,1,8562
80227,2,26606
80227,3,34158
80227,4,27635
80228,1,12469
80228,2,28975
80228,3,27639
80228,4,29090
80229,1,11448
80229,2,29062
80229,3,32565
80229,4,29116
80230,1,13144
80230,2,23838
80230,3,28501
80230,4,29120
80231,1,12654
80231,2,25656
80231,3,27344
80231,4,28327
80232,1,11437
80232,2,23262
80232,3,24268
80232,4,28287
80233,1,12763
80233,2,25735
80233,3,27707
80233,4,27551
80234,1,12926
80234,2,25207
80234,3,26453
80234,4,28406
80235,1,13781
80235,2,21906
80235,3,27349
80235,4,28632
80236,1,13850
80236,2,25414
80236,3,26613
80236,4,28511
80237,1,14431
80237,2,24190
80237,3,28035
80237,4,28478
80238,1,13547
80238,2,22232
80238,3,27907
80238,4,28435
80239,1,12845
80239,2,25004
80239,3,26270
80239,4,27726
80240,1,15908
80240,2,26402
80240,3,28866
80240,4,28872
80241,1,15412
80241,2,22348
80241,3,28933
80241,4,28603
80242,1,12765
80242,2,27725
80242,3,32658
80242,4,30777
80243,1,11039
80243,2,30070
80243,3,21826
80243,4,27182
80244,1,10196
80244,2,15439
80244,3,27107
80244,4,25007
80245,1,12586
80245,2,20450
80245,3,34757
80245,4,26462
80246,1,14697
80246,2,32200
80246,3,27040
80246,4,26532
80247,1,9575
80247,2,16601
80247,3,28240
80247,4,27100
80248,1,11871
80248,2,20773
80248,3,28017
80248,4,29866
80249,1,12403
80249,2,21998
80249,3,25744
80249,4,28594
80250,1,16043
80250,2,24160
80250,3,22037
80250,4,28180
80251,1,14190
80251,2,20920
80251,3,32331
80251,4,27023
80252,1,13214
80252,2,20853
80252,3,25443
80252,4,26562
80253,1,9095
80253,2,19135
80253,3,27199
80253,4,25918
80254,1,11157
80254,2,20773
80254,3,23918
80254,4,26744
80255,1,9673
80255,2,21158
80255,3,24716
80255,4,25578
80256,1,11876
80256,2,21226
80256,3,25580
80256,4,27468
80257,1,15102
80257,2,20775
80257,3,26039
80257,4,26085
80258,1,12530
80258,2,20461
80258,3,27947
80258,4,26786
80259,1,12113
80259,2,18807
80259,3,29036
80259,4,25811
80260,1,10572
80260,2,16468
80260,3,24438
80260,4,26511
80261,1,11353
80261,2,18334
80261,3,25373
80261,4,26557
80262,1,9457
80262,2,19388
80262,3,23412
80262,4,27955
80263,1,10675
80263,2,19117
80263,3,23489
80263,4,26783
80264,1,14306
80264,2,20595
80264,3,25398
80264,4,26436
80265,1,12776
80265,2,20265
80265,3,25846
80265,4,25531
80266,1,13537
80266,2,21186
80266,3,25803
80266,4,25772
80267,1,13761
80267,2,19343
80267,3,24828
80267,4,25143
80268,1,13257
80268,2,19215
80268,3,24527
80268,4,26829
80269,1,11458
80269,2,17364
80269,3,24999
80269,4,26303
80270,1,10806
80270,2,18777
80270,3,25742
80270,4,26160
80271,1,11554
80271,2,18900
80271,3,25776
80271,4,25002
80272,1,12380
80272,2,19595
80272,3,24222
80272,4,25587
80273,1,12979
80273,2,19540
80273,3,25012
80273,4,25602
80913,1,10160
80913,2,29140
80913,3,34020
80913,4,33374
80914,1,10302
80914,2,30144
80914,3,36683
80914,4,33937
80915,1,9714
80915,2,29427
80915,3,34647
80915,4,34033
80916,1,8120
80916,2,31562
80916,3,32413
80916,4,31492
80917,1,13156
80917,2,30165
80917,3,32226
80917,4,30981
80918,1,11138
80918,2,33818
80918,3,31850
80918,4,33366
80919,1,11021
80919,2,32070
80919,3,32491
80919,4,30697
80920,1,10759
80920,2,29404
80920,3,32692
80920,4,30512
80921,1,14817
80921,2,28688
80921,3,32948
80921,4,31601
80922,1,14117
80922,2,32098
80922,3,32171
80922,4,32933
80923,1,11854
80923,2,28768
80923,3,35522
80923,4,30559
80924,1,11317
80924,2,27801
80924,3,32811
80924,4,32354
80925,1,11106
80925,2,26890
80925,3,30414
80925,4,31335
80926,1,10833
80926,2,30644
80926,3,32867
80926,4,31950
80927,1,11720
80927,2,27281
80927,3,30373
80927,4,31003
80928,1,12974
80928,2,31349
80928,3,29000
80928,4,31143
80929,1,14374
80929,2,29747
80929,3,32003
80929,4,30319
80930,1,11811
80930,2,29460
80930,3,30234
80930,4,30506
80931,1,10904
80931,2,33574
80931,3,31344
80931,4,30529
80932,1,12080
80932,2,24554
80932,3,29478
80932,4,30102
80933,1,10409
80933,2,30195
80933,3,30832
80933,4,29704
80934,1,9847
80934,2,25902
80934,3,30910
80934,4,31764
80935,1,10751
80935,2,27307
80935,3,29442
80935,4,31167
80936,1,9540
80936,2,32264
80936,3,28802
80936,4,31783
80937,1,10284
80937,2,26067
80937,3,29747
80937,4,29547
80938,1,10222
80938,2,25295
80938,3,29531
80938,4,27893
80939,1,12196
80939,2,26621
80939,3,27632
80939,4,29973
80940,1,10334
80940,2,28329
80940,3,32460
80940,4,31665
80941,1,9006
80941,2,24131
80941,3,28418
80941,4,30000
80942,1,9717
80942,2,29316
80942,3,27538
80942,4,29110
80943,1,9763
80943,2,23230
80943,3,28186
80943,4,28018
80944,1,10861
80944,2,25087
80944,3,27478
80944,4,30060
80945,1,11004
80945,2,22421
80945,3,28511
80945,4,28142
80946,1,13631
80946,2,23866
80946,3,27434
80946,4,28842
80947,1,11935
80947,2,23735
80947,3,26372
80947,4,28541
80948,1,10012
80948,2,22943
80948,3,29972
80948,4,28727
80949,1,12530
80949,2,25575
80949,3,26618
80949,4,27955
80950,1,13441
80950,2,22549
80950,3,28508
80950,4,28165
80951,1,14662
80951,2,24711
80951,3,29259
80951,4,29047
80952,1,13901
80952,2,23805
80952,3,26610
80952,4,28944
80953,1,12588
80953,2,21844
80953,3,27636
80953,4,28494
80954,1,13988
80954,2,24211
80954,3,30123
80954,4,30538
80955,1,14778
80955,2,25212
80955,3,28260
80955,4,30128
80956,1,10576
80956,2,28686
80956,3,28525
80956,4,30578
80957,1,12446
80957,2,9201
80957,3,24956
80957,4,28735
80958,1,12929
80958,2,20785
80958,3,26438
80958,4,24557
80959,1,15587
80959,2,15181
80959,3,35316
80959,4,28418
80960,1,10651
80960,2,30483
80960,3,35188
80960,4,25320
80961,1,9149
80961,2,22427
80961,3,33859
80961,4,31410
80962,1,15257
80962,2,18394
80962,3,30039
80962,4,25465
80963,1,11707
80963,2,18231
80963,3,29816
80963,4,27038
80964,1,12824
80964,2,18138
80964,3,25808
80964,4,27055
80965,1,10349
80965,2,22858
80965,3,19027
80965,4,24378
80966,1,14258
80966,2,15278
80966,3,22482
80966,4,30231
80967,1,10119
80967,2,14819
80967,3,30066
80967,4,23935
80968,1,11245
80968,2,17413
80968,3,26780
80968,4,24106
80969,1,11864
80969,2,10422
80969,3,32528
80969,4,26931
80970,1,9995
80970,2,15987
80970,3,29304
80970,4,27234
80971,1,10894
80971,2,14942
80971,3,23461
80971,4,26836
80972,1,11060
80972,2,20402
80972,3,27744
80972,4,26723
80973,1,11534
80973,2,20656
80973,3,26144
80973,4,27332
80974,1,9261
80974,2,17669
80974,3,23404
80974,4,28217
80975,1,7846
80975,2,20608
80975,3,25656
80975,4,26385
80976,1,8786
80976,2,19380
80976,3,22493
80976,4,26742
80977,1,11422
80977,2,19562
80977,3,23433
80977,4,27179
80978,1,13922
80978,2,20816
80978,3,24501
80978,4,26453
80979,1,11785
80979,2,19628
80979,3,25349
80979,4,25717
80980,1,9554
80980,2,18486
80980,3,24322
80980,4,25623
80981,1,9949
80981,2,19100
80981,3,23988
80981,4,26643
80982,1,9821
80982,2,18107
80982,3,24191
80982,4,26883
80983,1,9084
80983,2,17470
80983,3,23399
80983,4,24153
80984,1,10058
80984,2,17286
80984,3,21516
80984,4,25276
80985,1,9863
80985,2,18368
80985,3,23243
80985,4,24582
80986,1,10073
80986,2,18120
80986,3,22416
80986,4,24689
80987,1,10781
80987,2,19318
80987,3,23280
80987,4,24679
80988,1,10504
80988,2,19253
80988,3,25042
80988,4,25460
80989,1,12698
80989,2,18991
80989,3,24634
80989,4,24834
80990,1,11355
80990,2,18810
80990,3,24019
80990,4,25230
80991,1,10694
80991,2,18081
80991,3,24390
80991,4,25137
81626,1,14229
81626,2,31406
81626,3,33257
81626,4,33302
81627,1,15422
81627,2,31521
81627,3,33262
81627,4,33954
81628,1,11443
81628,2,27095
81628,3,32083
81628,4,34657
81629,1,10016
81629,2,23081
81629,3,35287
81629,4,32862
81630,1,10093
81630,2,27699
81630,3,32506
81630,4,30300
81631,1,9445
81631,2,29621
81631,3,33663
81631,4,32025
81632,1,10487
81632,2,28884
81632,3,32889
81632,4,32165
81633,1,8745
81633,2,32065
81633,3,30979
81633,4,32512
81634,1,10914
81634,2,31519
81634,3,30977
81634,4,33158
81635,1,12368
81635,2,29523
81635,3,32379
81635,4,32277
81636,1,11824
81636,2,32845
81636,3,32407
81636,4,31551
81637,1,8964
81637,2,35190
81637,3,29024
81637,4,30030
81638,1,11767
81638,2,34906
81638,3,35208
81638,4,32550
81639,1,9504
81639,2,29951
81639,3,32448
81639,4,30873
81640,1,13199
81640,2,27853
81640,3,32573
81640,4,30816
81641,1,11069
81641,2,25959
81641,3,29749
81641,4,30813
81642,1,11802
81642,2,27656
81642,3,32454
81642,4,29414
81643,1,12404
81643,2,28878
81643,3,31767
81643,4,31547
81644,1,12579
81644,2,29164
81644,3,31440
81644,4,31378
81645,1,11959
81645,2,28908
81645,3,29522
81645,4,31521
81646,1,9967
81646,2,28045
81646,3,31322
81646,4,30345
81647,1,11323
81647,2,28002
81647,3,32236
81647,4,29486
81648,1,9737
81648,2,26183
81648,3,33045
81648,4,30676
81649,1,8608
81649,2,26127
81649,3,29159
81649,4,30592
81650,1,11624
81650,2,28571
81650,3,29557
81650,4,29188
81651,1,9664
81651,2,26541
81651,3,28588
81651,4,28565
81652,1,9007
81652,2,24878
81652,3,30144
81652,4,31098
81653,1,8773
81653,2,25138
81653,3,31045
81653,4,28681
81654,1,13044
81654,2,26251
81654,3,30145
81654,4,30175
81655,1,11858
81655,2,25250
81655,3,31550
81655,4,29441
81656,1,9887
81656,2,26012
81656,3,29843
81656,4,29175
81657,1,11597
81657,2,24966
81657,3,28210
81657,4,26793
81658,1,12726
81658,2,27026
81658,3,26046
81658,4,28526
81659,1,11602
81659,2,23638
81659,3,24909
81659,4,28556
81660,1,11979
81660,2,22755
81660,3,25709
81660,4,27972
81661,1,14319
81661,2,25617
81661,3,28126
81661,4,27652
81662,1,12398
81662,2,22201
81662,3,26902
81662,4,28375
81663,1,13368
81663,2,23230
81663,3,25961
81663,4,28319
81664,1,13475
81664,2,24690
81664,3,28100
81664,4,28667
81665,1,14163
81665,2,23320
81665,3,26950
81665,4,28118
81666,1,12868
81666,2,24339
81666,3,28670
81666,4,28742
81667,1,12710
81667,2,21355
81667,3,28656
81667,4,27882
81668,1,14667
81668,2,20588
81668,3,27346
81668,4,28775
81669,1,15109
81669,2,24741
81669,3,29897
81669,4,27111
81670,1,13012
81670,2,22067
81670,3,25858
81670,4,27587
81671,1,11184
81671,2,23383
81671,3,19748
81672,1,12923
81672,2,16488
81672,3,29911
81672,4,22625
81673,1,14655
81673,2,21261
81673,3,25955
81673,4,23662
81674,1,10488
81674,2,18547
81674,3,22420
81674,4,26266
81675,1,13413
81675,2,19252
81675,3,21765
81675,4,26866
81676,1,13783
81676,2,20610
81676,3,27675
81676,4,26776
81677,1,14787
81677,2,20898
81677,3,25641
81677,4,26691
81678,1,14991
81678,2,27769
81678,3,28531
81678,4,29066
81679,1,10412
81679,2,17771
81679,3,15148
81679,4,23605
81680,1,11925
81680,2,28576
81680,3,25998
81680,4,21722
81681,1,12600
81681,2,20598
81681,3,22470
81681,4,28817
81682,1,16228
81682,2,20791
81682,3,30256
81682,4,24546
81683,1,9011
81683,2,7163
81683,3,19993
81683,4,26938
81684,1,8685
81684,2,23740
81684,3,24260
81684,4,26804
81685,1,11480
81685,2,14847
81685,3,27329
81685,4,24487
81686,1,9532
81686,2,15859
81686,3,26575
81686,4,29292
81687,1,8597
81687,2,17853
81687,3,24275
81687,4,26754
81688,1,10206
81688,2,19572
81688,3,23071
81688,4,26171
81689,1,9976
81689,2,19566
81689,3,23715
81689,4,24548
81690,1,11329
81690,2,16388
81690,3,21562
81690,4,26595
81691,1,11978
81691,2,20481
81691,3,25068
81691,4,25200
81692,1,10996
81692,2,17490
81692,3,24524
81692,4,25938
81693,1,10485
81693,2,20774
81693,3,25257
81693,4,25290
81694,1,9106
81694,2,17790
81694,3,23041
81694,4,25566
81695,1,8481
81695,2,19410
81695,3,25639
81695,4,25445
81696,1,8800
81696,2,17450
81696,3,23145
81696,4,25285
81697,1,7885
81697,2,13358
81697,3,23266
81697,4,24652
81698,1,9538
81698,2,17109
81698,3,22682
81698,4,24194
81699,1,11731
81699,2,17770
81699,3,23028
81699,4,24402
81700,1,12599
81700,2,18736
81700,3,22813
81700,4,24739
81701,1,13150
81701,2,19155
81701,3,23426
81701,4,24637
81702,1,11699
81702,2,17756
81702,3,24163
81702,4,24872
81703,1,11600
81703,2,18822
81703,3,23745
81703,4,24655
81704,1,11767
81704,2,17780
81704,3,23343
81704,4,25276
81705,1,10865
81705,2,19530
81705,3,24162
81705,4,25215
81706,1,10468
81706,2,18292
81706,3,23569
81706,4,24776
81707,1,10487
81707,2,19703
81707,3,22757
81707,4,24669
81708,1,11596
81708,2,17984
81708,3,23811
81708,4,24658
81709,1,11434
81709,2,18497
81709,3,23656
81709,4,24697
81710,1,11510
81710,2,19156
81710,3,22383
81710,4,25063
82339,1,10459
82339,2,31740
82339,3,35110
82339,4,33441
82340,1,17146
82340,2,28301
82340,3,29410
82340,4,33006
82341,1,13382
82341,2,32552
82341,3,32246
82341,4,34275
82342,1,11786
82342,2,30358
82342,3,32181
82342,4,31263
82343,1,9234
82343,2,29718
82343,3,32591
82343,4,30947
82344,1,9100
82344,2,32499
82344,3,30867
82344,4,34302
82345,1,9443
82345,2,31133
82345,3,31599
82345,4,32093
82346,1,9445
82346,2,31015
82346,3,33065
82346,4,32498
82347,1,10622
82347,2,32640
82347,3,34095
82347,4,31737
82348,1,9352
82348,2,27501
82348,3,33229
82348,4,31850
82349,1,11704
82349,2,29541
82349,3,34773
82349,4,30710
82350,1,11059
82350,2,29724
82350,3,30752
82350,4,31957
82351,1,14770
82351,2,28781
82351,3,31147
82351,4,31443
82352,1,11209
82352,2,24773
82352,3,31960
82352,4,30726
82353,1,10853
82353,2,29399
82353,3,30062
82353,4,30801
82354,1,9409
82354,2,28039
82354,3,32416
82354,4,31404
82355,1,13552
82355,2,29808
82355,3,31831
82355,4,31200
82356,1,11249
82356,2,29998
82356,3,31989
82356,4,31209
82357,1,10155
82357,2,29245
82357,3,30869
82357,4,30543
82358,1,11166
82358,2,28143
82358,3,30105
82358,4,29739
82359,1,11183
82359,2,28960
82359,3,32121
82359,4,30285
82360,1,11426
82360,2,27069
82360,3,31121
82360,4,30929
82361,1,11066
82361,2,29193
82361,3,31408
82361,4,29722
82362,1,10691
82362,2,30805
82362,3,33628
82362,4,28857
82363,1,9987
82363,2,29230
82363,3,31336
82363,4,29086
82364,1,10852
82364,2,25101
82364,3,29432
82364,4,29385
82365,1,9413
82365,2,27097
82365,3,32464
82365,4,28425
82366,1,9047
82366,2,24380
82366,3,28696
82366,4,28837
82367,1,8569
82367,2,22083
82367,3,27708
82367,4,28106
82368,1,9925
82368,2,22814
82368,3,28056
82368,4,29979
82369,1,8955
82369,2,24063
82369,3,29451
82369,4,28190
82370,1,10129
82370,2,25450
82370,3,27168
82370,4,28046
82371,1,10019
82371,2,24165
82371,3,26734
82371,4,27085
82372,1,11542
82372,2,26083
82372,3,26840
82372,4,28559
82373,1,10829
82373,2,24368
82373,3,26925
82373,4,28170
82374,1,11259
82374,2,21658
82374,3,27875
82374,4,28551
82375,1,10819
82375,2,22556
82375,3,25073
82375,4,27914
82376,1,12373
82376,2,22834
82376,3,26973
82376,4,28066
82377,1,10965
82377,2,23393
82377,3,27501
82377,4,28183
82378,1,12239
82378,2,23795
82378,3,26620
82378,4,28109
82379,1,14786
82379,2,23882
82379,3,28318
82379,4,27802
82380,1,12788
82380,2,21522
82380,3,26986
82380,4,28859
82381,1,10758
82381,2,20784
82381,3,27455
82381,4,28225
82382,1,10654
82382,2,24559
82382,3,29462
82382,4,26872
82383,1,12499
82383,2,22408
82383,3,29000
82383,4,28494
82384,1,14680
82384,2,22968
82384,3,27784
82384,4,29548
82385,1,10178
82385,2,14681
82385,3,21681
82385,4,24348
82386,1,12416
82386,2,30639
82386,3,26271
82386,4,23851
82387,1,16939
82387,2,26578
82387,3,44173
82387,4,27511
82388,1,13770
82388,2,18852
82388,3,33146
82389,1,11364
82389,2,26906
82389,3,27011
82389,4,25700
82390,1,13739
82390,2,20839
82390,3,28478
82390,4,25594
82391,1,10744
82391,2,19159
82391,3,29242
82391,4,25455
82392,1,14859
82392,2,19676
82392,3,27891
82392,4,27368
82393,1,19260
82393,2,21007
82393,3,28701
82393,4,24853
82394,1,14680
82394,2,22725
82394,3,30474
82394,4,29094
82395,1,13356
82395,2,19648
82395,3,25119
82395,4,27836
82396,1,8259
82396,2,16458
