visit_grid,ses2,distance
112485,1,15481
112485,2,15862
112485,3,20208
112485,4,22509
112486,1,18518
112486,2,16793
112486,3,21475
112486,4,21872
112487,1,18262
112487,2,17261
112487,3,21697
112487,4,22330
112488,1,17494
112488,2,17120
112488,3,21178
112488,4,22561
112489,1,16173
112489,2,16086
112489,3,21766
112489,4,23322
112490,1,16085
112490,2,17265
112490,3,21253
112490,4,23965
112491,1,16698
112491,2,17569
112491,3,22700
112491,4,22895
112492,1,15893
112492,2,17485
112492,3,20371
112492,4,23097
112493,1,15777
112493,2,17032
112493,3,21078
112493,4,22128
112494,1,14875
112494,2,16284
112494,3,22042
112494,4,22573
112495,1,14908
112495,2,18130
112495,3,22040
112495,4,23385
112496,1,14516
112496,2,16112
112496,3,22351
112496,4,23962
112497,1,15069
112497,2,16845
112497,3,21896
112497,4,23970
112498,1,15923
112498,2,17754
112498,3,23083
112498,4,24328
112499,1,13855
112499,2,19139
112499,3,19239
112499,4,24887
112500,1,12444
112500,2,17318
112500,3,21433
112500,4,23536
112501,1,13684
112501,2,16506
112501,3,22260
112501,4,24812
112502,1,12605
112502,2,16868
112502,3,20722
112502,4,25908
112503,1,14519
112503,2,18593
112503,3,23372
112503,4,24915
112504,1,16101
112504,2,19711
112504,3,22912
112504,4,25376
112505,1,13942
112505,2,18733
112505,3,23705
112505,4,25037
112506,1,14633
112506,2,16923
112506,3,22426
112506,4,25567
112507,1,14297
112507,2,18149
112507,3,24569
112507,4,27202
112508,1,13696
112508,2,19911
112508,3,19757
112508,4,26019
112509,1,14655
112509,2,18817
112509,3,23097
112509,4,27352
112510,1,13292
112510,2,18412
112510,3,24306
112510,4,28358
113048,1,15251
113048,2,21074
113048,3,23058
113048,4,25315
113049,1,12167
113049,2,22045
113049,3,23786
113049,4,24378
113050,1,12290
113050,2,21977
113050,3,22949
113050,4,24358
113051,1,13955
113051,2,22298
113051,3,23510
113051,4,24610
113052,1,12762
113052,2,19482
113052,3,23047
113052,4,22659
113053,1,11609
113053,2,21746
113053,3,24196
113053,4,23540
113054,1,12712
113054,2,23126
113054,3,23654
113054,4,23197
113055,1,13743
113055,2,24147
113055,3,22951
113055,4,23266
113056,1,13539
113056,2,19715
113056,3,20918
113056,4,22417
113057,1,11568
113057,2,18960
113057,3,21891
113057,4,22759
113058,1,12928
113058,2,21148
113058,3,21202
113058,4,22588
113059,1,15048
113059,2,21513
113059,3,22122
113059,4,22867
113060,1,12296
113060,2,20542
113060,3,22243
113060,4,21849
113061,1,12974
113061,2,20218
113061,3,21893
113061,4,21891
113062,1,14450
113062,2,19909
113062,3,22238
113062,4,22101
113063,1,13315
113063,2,20701
113063,3,21351
113063,4,21636
113064,1,12890
113064,2,19743
113064,3,21340
113064,4,21488
113065,1,13872
113065,2,19647
113065,3,21128
113065,4,21662
113066,1,11367
113066,2,19885
113066,3,20542
113066,4,21279
113067,1,10482
113067,2,18212
113067,3,18932
113067,4,20481
113068,1,8637
113068,2,19156
113068,3,20015
113068,4,20493
113069,1,8489
113069,2,17243
113069,3,17690
113069,4,21074
113070,1,8396
113070,2,18618
113070,3,20581
113070,4,18831
113071,1,8376
113071,2,18069
113071,3,19426
113071,4,19689
113072,1,10399
113072,2,17272
113072,3,18723
113072,4,19678
113073,1,9758
113073,2,16325
113073,3,19591
113073,4,19575
113074,1,9548
113074,2,17585
113074,3,19923
113074,4,20312
113075,1,9589
113075,2,16812
113075,3,18857
113075,4,20079
113076,1,10366
113076,2,18027
113076,3,18565
113076,4,18480
113077,1,9615
113077,2,17438
113077,3,18903
113077,4,18907
113078,1,8936
113078,2,16513
113078,3,21562
113078,4,18684
113079,1,9306
113079,2,16032
113079,3,18747
113079,4,19146
113080,1,10696
113080,2,15947
113080,3,17483
113080,4,18046
113081,1,13005
113081,2,16863
113081,3,18575
113081,4,18180
113082,1,13586
113082,2,18178
113082,3,19483
113082,4,18731
113083,1,11189
113083,2,16472
113083,3,18715
113083,4,18302
113084,1,8841
113084,2,15923
113084,3,18245
113084,4,17898
113085,1,6635
113085,2,9855
113085,3,15436
113085,4,17771
113086,1,9735
113086,2,13750
113086,3,16507
113086,4,15668
113087,1,9448
113087,2,14707
113087,3,18514
113087,4,18320
113088,1,10193
113088,2,12092
113088,3,16928
113088,4,19317
113089,1,8152
113089,2,11702
113089,3,14942
113089,4,19285
113090,1,9173
113090,2,12068
113090,3,15222
113090,4,17604
113091,1,7948
113091,2,12373
113091,3,16520
113091,4,18640
113092,1,9174
113092,2,13009
113092,3,17624
113092,4,18330
113093,1,11007
113093,2,9596
113093,3,13867
113093,4,14749
113094,1,8925
113094,2,14240
113094,3,14702
113094,4,16948
113095,1,8453
113095,2,7400
113095,3,14529
113095,4,17244
113096,1,9590
113096,2,9947
113096,3,14236
113096,4,15976
113097,1,10208
113097,2,10856
113097,3,13107
113097,4,15877
113098,1,10143
113098,2,12951
113098,3,13726
113098,4,14295
113099,1,10217
113099,2,11332
113099,3,12744
113099,4,17143
113100,1,10769
113100,2,9971
113100,3,14107
113100,4,14922
113101,1,10978
113101,2,12452
113101,3,12789
113101,4,13521
113102,1,10267
113102,2,11597
113102,3,11020
113102,4,15101
113103,1,10916
113103,2,9618
113103,3,12748
113103,4,14374
113104,1,14259
113104,2,13109
113104,3,15365
113104,4,16057
113105,1,13048
113105,2,12390
113105,3,15346
113105,4,15592
113106,1,11338
113106,2,11017
113106,3,14172
113106,4,15348
113107,1,11534
113107,2,10476
113107,3,12642
113107,4,15247
113108,1,11647
113108,2,10391
113108,3,12610
113108,4,14227
113109,1,12121
113109,2,10879
113109,3,13549
113109,4,14432
113110,1,12196
113110,2,11632
113110,3,13572
113110,4,14800
113111,1,11298
113111,2,9336
113111,3,13268
113111,4,14322
113112,1,9638
113112,2,10039
113112,3,12569
113112,4,14304
113113,1,11114
113113,2,10598
113113,3,12962
113113,4,14747
113114,1,11649
113114,2,10902
113114,3,13229
113114,4,13696
113115,1,10514
113115,2,9774
113115,3,13325
113115,4,14752
113116,1,9388
113116,2,10532
113116,3,13188
113116,4,14570
113117,1,9319
113117,2,10230
113117,3,12509
113117,4,14875
113118,1,10306
113118,2,10390
113118,3,12898
113118,4,14308
113119,1,10520
113119,2,10290
113119,3,13828
113119,4,14679
113120,1,10677
113120,2,10149
113120,3,12567
113120,4,13694
113121,1,12423
113121,2,11430
113121,3,14357
113121,4,14549
113122,1,11551
113122,2,10894
113122,3,13679
113122,4,13861
113123,1,11861
113123,2,10665
113123,3,14471
113123,4,14198
113124,1,13374
113124,2,13247
113124,3,15141
113124,4,14564
113125,1,13066
113125,2,12028
113125,3,14559
113125,4,14206
113126,1,10939
113126,2,10673
113126,3,14088
113126,4,14136
113127,1,8546
113127,2,9627
113127,3,13167
113127,4,13976
113128,1,9662
113128,2,9664
113128,3,13807
113128,4,13275
113129,1,8898
113129,2,9125
113129,3,10203
113129,4,13879
113130,1,8398
113130,2,9390
113130,3,13071
113130,4,12805
113131,1,9377
113131,2,9153
113131,3,13291
113131,4,14027
113132,1,10077
113132,2,10409
113132,3,12894
113132,4,13493
113133,1,11391
113133,2,10231
113133,3,13577
113133,4,13721
113134,1,10846
113134,2,10007
113134,3,13729
113134,4,13940
113135,1,9738
113135,2,9714
113135,3,14198
113135,4,13900
113136,1,11204
113136,2,10909
113136,3,14223
113136,4,13961
113137,1,10229
113137,2,9776
113137,3,11898
113137,4,13259
113138,1,8732
113138,2,9117
113138,3,12565
113138,4,13838
113139,1,8775
113139,2,9410
113139,3,14214
113139,4,14213
113140,1,9280
113140,2,8138
113140,3,12929
113140,4,14436
113141,1,9328
113141,2,9917
113141,3,13430
113141,4,14352
113142,1,8628
113142,2,9174
113142,3,12429
113142,4,13939
113143,1,9573
113143,2,9741
113143,3,13606
113143,4,13943
113144,1,11806
113144,2,11472
113144,3,15190
113144,4,14403
113145,1,10905
113145,2,10708
113145,3,14616
113145,4,14216
113146,1,10953
113146,2,11341
113146,3,15066
113146,4,14570
113147,1,12764
113147,2,10390
113147,3,15234
113147,4,15285
113148,1,11819
113148,2,11204
113148,3,15654
113148,4,14948
113149,1,13491
113149,2,11885
113149,3,15408
113149,4,14993
113150,1,13043
113150,2,12031
113150,3,16088
113150,4,15046
113151,1,13406
113151,2,10898
113151,3,15260
113151,4,15181
113152,1,13635
113152,2,10974
113152,3,14852
113152,4,15150
113153,1,11415
113153,2,9882
113153,3,14042
113153,4,14488
113154,1,10877
113154,2,9554
113154,3,13452
113154,4,14929
113155,1,9714
113155,2,8633
113155,3,13329
113155,4,14655
113156,1,10411
113156,2,9222
113156,3,13633
113156,4,14303
113157,1,9957
113157,2,9175
113157,3,13699
113157,4,15426
113158,1,10573
113158,2,9588
113158,3,14015
113158,4,15008
113159,1,11041
113159,2,9507
113159,3,13075
113159,4,15486
113160,1,11408
113160,2,9574
113160,3,13360
113160,4,14710
113161,1,13593
113161,2,10401
113161,3,14601
113161,4,15289
113162,1,13893
113162,2,11325
113162,3,14921
113162,4,15503
113163,1,12121
113163,2,10422
113163,3,13550
113163,4,15514
113164,1,12364
113164,2,10166
113164,3,14175
113164,4,16084
113165,1,12836
113165,2,10028
113165,3,14765
113165,4,15541
113166,1,12973
113166,2,10413
113166,3,14685
113166,4,15794
113167,1,12492
113167,2,8457
113167,3,12408
113167,4,16441
113168,1,14329
113168,2,9474
113168,3,14222
113168,4,16334
113169,1,14024
113169,2,9236
113169,3,13832
113169,4,16936
113170,1,13243
113170,2,10402
113170,3,15499
113170,4,16579
113171,1,15805
113171,2,13062
113171,3,16834
113171,4,16945
113172,1,15493
113172,2,12497
113172,3,16048
113172,4,16820
113173,1,13206
113173,2,10403
113173,3,15526
113173,4,16809
113174,1,14323
113174,2,11321
113174,3,16208
113174,4,17061
113175,1,15286
113175,2,12865
113175,3,17478
113175,4,17717
113176,1,15702
113176,2,13194
113176,3,17404
113176,4,17765
113177,1,16622
113177,2,14074
113177,3,17564
113177,4,17776
113178,1,18118
113178,2,15201
113178,3,18449
113178,4,18514
113179,1,17843
113179,2,14809
113179,3,18755
113179,4,18572
113180,1,16999
113180,2,14387
113180,3,18593
113180,4,18507
113181,1,16769
113181,2,14040
113181,3,17925
113181,4,18620
113182,1,15860
113182,2,13653
113182,3,17830
113182,4,19022
113183,1,16188
113183,2,13837
113183,3,18122
113183,4,18767
113184,1,15840
113184,2,13297
113184,3,17924
113184,4,19018
113185,1,14844
113185,2,12741
113185,3,17531
113185,4,19094
113186,1,14831
113186,2,13191
113186,3,17827
113186,4,19023
113187,1,14682
113187,2,12082
113187,3,16983
113187,4,18916
113188,1,14368
113188,2,12325
113188,3,18155
113188,4,19712
113189,1,15638
113189,2,13461
113189,3,18672
113189,4,19657
113190,1,16038
113190,2,14037
113190,3,19374
113190,4,20426
113191,1,16471
113191,2,14762
113191,3,20193
113191,4,20726
113192,1,16688
113192,2,15336
113192,3,19806
113192,4,21055
113193,1,15502
113193,2,14179
113193,3,17751
113193,4,21033
113194,1,15485
113194,2,13437
113194,3,19089
113194,4,20057
113195,1,15674
113195,2,14551
113195,3,18967
113195,4,21578
113196,1,15999
113196,2,14304
113196,3,20504
113196,4,22542
113197,1,14803
113197,2,14199
113197,3,21531
113197,4,21498
113198,1,13805
113198,2,13918
113198,3,20930
113198,4,21894
113199,1,14044
113199,2,14908
113199,3,19539
113199,4,21658
113200,1,15768
113200,2,15255
113200,3,21192
113200,4,22661
113201,1,15943
113201,2,16325
113201,3,21114
113201,4,22586
113202,1,16744
113202,2,16339
113202,3,20742
113202,4,22425
113203,1,15521
113203,2,16515
113203,3,21331
113203,4,22863
113204,1,15684
113204,2,17022
113204,3,21357
113204,4,23004
113205,1,18427
113205,2,17909
113205,3,22860
113205,4,23292
113206,1,15613
113206,2,16769
113206,3,21640
113206,4,22529
113207,1,14982
113207,2,16500
113207,3,20909
113207,4,22724
113208,1,15748
113208,2,16739
113208,3,21745
113208,4,23069
113209,1,12999
113209,2,15320
113209,3,20618
113209,4,23245
113210,1,13940
113210,2,15826
113210,3,20232
113210,4,24179
113211,1,11713
113211,2,16123
113211,3,22733
113211,4,22011
113212,1,10545
113212,2,15766
113212,3,19639
113212,4,24689
113213,1,12913
113213,2,17098
113213,3,18941
113213,4,24330
113214,1,12630
113214,2,17013
113214,3,18722
113214,4,25432
113215,1,12653
113215,2,16660
113215,3,19076
113215,4,24195
113216,1,10941
113216,2,17935
113216,3,19456
113216,4,23696
113217,1,12789
113217,2,17028
113217,3,23281
113217,4,25265
113218,1,14387
113218,2,18447
113218,3,22471
113218,4,24914
113219,1,15795
113219,2,18997
113219,3,22148
113219,4,25343
113220,1,11561
113220,2,19054
113220,3,23593
113220,4,26433
113221,1,15087
113221,2,17515
113221,3,21744
113221,4,26756
113222,1,13690
113222,2,18338
113222,3,23894
113222,4,25344
113223,1,12543
113223,2,16938
113223,3,28417
113223,4,25851
113224,1,13292
113224,2,17121
113224,3,20769
113224,4,26005
113225,1,13979
113225,2,17494
113225,3,19402
113225,4,26898
113762,1,13175
113762,2,22778
113762,3,24510
113762,4,24453
113763,1,11739
113763,2,23171
113763,3,22995
113763,4,25478
113764,1,11900
113764,2,22529
113764,3,23865
113764,4,23309
113765,1,13275
113765,2,21987
113765,3,22430
113765,4,24412
113766,1,13986
113766,2,22383
113766,3,22385
113766,4,22374
113767,1,12511
113767,2,20236
113767,3,23284
113767,4,23632
113768,1,13865
113768,2,19878
113768,3,22262
113768,4,22833
113769,1,12253
113769,2,21949
113769,3,22056
113769,4,22247
113770,1,11509
113770,2,19453
113770,3,21894
113770,4,22671
113771,1,12458
113771,2,20022
113771,3,21611
113771,4,22236
113772,1,10992
113772,2,19602
113772,3,22356
113772,4,22479
113773,1,12149
113773,2,19311
113773,3,21489
113773,4,22213
113774,1,13119
113774,2,19577
113774,3,22279
113774,4,22489
113775,1,16316
113775,2,21000
113775,3,21782
113775,4,22042
113776,1,14122
113776,2,20192
113776,3,21981
113776,4,21701
113777,1,13773
113777,2,21111
113777,3,21502
113777,4,21671
113778,1,15137
113778,2,19470
113778,3,21524
113778,4,21517
113779,1,15492
113779,2,20165
113779,3,21514
113779,4,21635
113780,1,13908
113780,2,19945
113780,3,20695
113780,4,21495
113781,1,13422
113781,2,18461
113781,3,20172
113781,4,20732
113782,1,10418
113782,2,17452
113782,3,19484
113782,4,20819
113783,1,9147
113783,2,16289
113783,3,21551
113783,4,19840
113784,1,9674
113784,2,17920
113784,3,20432
113784,4,20052
113785,1,11299
113785,2,17346
113785,3,19625
113785,4,19681
113786,1,10384
113786,2,17607
113786,3,19998
113786,4,19335
113787,1,13141
113787,2,16926
113787,3,17845
113787,4,19602
113788,1,11976
113788,2,17373
113788,3,18867
113788,4,19810
113789,1,10136
113789,2,15733
113789,3,19381
113789,4,19244
113790,1,9465
113790,2,16574
113790,3,18447
113790,4,19754
113791,1,9561
113791,2,16318
113791,3,18443
113791,4,18126
113792,1,9923
113792,2,15834
113792,3,19430
113792,4,18445
113793,1,10577
113793,2,15387
113793,3,18705
113793,4,18306
113794,1,11218
113794,2,16743
113794,3,19385
113794,4,18419
113795,1,12176
113795,2,17625
113795,3,18270
113795,4,17908
113796,1,12702
113796,2,16418
113796,3,18035
113796,4,18757
113797,1,10490
113797,2,16793
113797,3,17610
113797,4,17782
113798,1,11557
113798,2,15116
113798,3,17938
113798,4,18280
113799,1,9242
113799,2,11788
113799,3,16111
113799,4,16830
113800,1,10603
113800,2,10942
113800,3,19450
113800,4,18638
113801,1,9667
113801,2,11824
113801,3,17667
113801,4,16860
113802,1,8315
113802,2,16809
113802,3,12923
113802,4,18259
113803,1,10670
113803,2,12990
113803,3,16114
113803,4,17044
113804,1,8288
113804,2,11795
113804,3,16034
113804,4,16825
113805,1,10426
113805,2,13382
113805,3,13938
113805,4,16970
113806,1,9060
113806,2,10618
113806,3,11325
113806,4,16332
113807,1,9826
113807,2,14784
113807,3,16238
113807,4,16672
113808,1,9632
113808,2,10091
113808,3,12467
113808,4,14968
113809,1,9511
113809,2,8771
113809,3,13340
113809,4,15575
113810,1,8952
113810,2,12569
113810,3,15398
113810,4,15454
113811,1,9835
113811,2,12951
113811,3,14055
113811,4,15464
113812,1,10866
113812,2,11745
113812,3,12518
113812,4,15394
113813,1,10851
113813,2,10715
113813,3,13112
113813,4,15743
113814,1,9550
113814,2,10226
113814,3,14048
113814,4,15713
113815,1,10604
113815,2,11024
113815,3,11530
113815,4,15427
113816,1,9669
113816,2,11771
113816,3,12258
113816,4,15565
113817,1,12356
113817,2,13874
113817,3,15466
113817,4,15944
113818,1,12233
113818,2,11718
113818,3,14107
113818,4,15171
113819,1,13842
113819,2,12539
113819,3,15064
113819,4,15432
113820,1,13485
113820,2,12550
113820,3,15068
113820,4,15455
113821,1,12319
113821,2,11214
113821,3,13743
113821,4,14779
113822,1,12418
113822,2,11240
113822,3,13962
113822,4,14515
113823,1,13093
113823,2,11347
113823,3,14065
113823,4,15003
113824,1,11970
113824,2,11395
113824,3,13850
113824,4,14325
113825,1,11174
113825,2,10684
113825,3,12900
113825,4,14143
113826,1,10662
113826,2,10306
113826,3,11980
113826,4,13829
113827,1,11336
113827,2,9884
113827,3,11935
113827,4,13939
113828,1,10141
113828,2,10392
113828,3,12858
113828,4,13195
113829,1,10995
113829,2,10305
113829,3,12166
113829,4,13937
113830,1,10661
113830,2,9347
113830,3,13866
113830,4,13765
113831,1,9713
113831,2,9579
113831,3,12255
113831,4,14008
113832,1,9883
113832,2,10112
113832,3,12746
113832,4,14117
113833,1,10994
113833,2,10959
113833,3,13667
113833,4,14718
113834,1,10272
113834,2,10229
113834,3,13400
113834,4,13547
113835,1,12255
113835,2,10507
113835,3,14538
113835,4,13728
113836,1,12678
113836,2,11404
113836,3,13821
113836,4,13739
113837,1,13583
113837,2,11953
113837,3,14240
113837,4,14171
113838,1,14350
113838,2,13067
113838,3,15277
113838,4,14356
113839,1,15030
113839,2,12856
113839,3,15191
113839,4,14231
113840,1,11890
113840,2,11369
113840,3,13631
113840,4,13837
113841,1,9986
113841,2,9280
113841,3,12769
113841,4,13786
113842,1,9499
113842,2,9955
113842,3,13238
113842,4,13741
113843,1,8479
113843,2,9381
113843,3,13613
113843,4,14038
113844,1,9379
113844,2,10177
113844,3,13144
113844,4,13765
113845,1,12099
113845,2,9921
113845,3,14036
113845,4,14156
113846,1,11657
113846,2,10649
113846,3,13981
113846,4,14009
113847,1,12461
113847,2,11104
113847,3,13786
113847,4,13987
113848,1,12391
113848,2,10795
113848,3,12823
113848,4,13568
113849,1,10543
113849,2,9710
113849,3,12971
113849,4,13412
113850,1,12050
113850,2,10610
113850,3,13380
113850,4,13655
113851,1,9342
113851,2,9647
113851,3,12775
113851,4,12730
113852,1,10392
113852,2,9789
113852,3,13389
113852,4,13858
113853,1,9660
113853,2,9171
113853,3,12977
113853,4,13469
113854,1,8648
113854,2,9354
113854,3,12428
113854,4,13888
113855,1,9281
113855,2,9640
113855,3,13067
113855,4,13463
113856,1,9740
113856,2,8517
113856,3,12619
113856,4,13336
113857,1,8508
113857,2,8928
113857,3,12245
113857,4,13772
113858,1,10176
113858,2,9524
113858,3,13289
113858,4,14091
113859,1,11157
113859,2,10406
113859,3,14685
113859,4,14526
113860,1,12606
113860,2,11322
113860,3,14736
113860,4,14172
113861,1,11640
113861,2,10919
113861,3,15152
113861,4,14300
113862,1,12586
113862,2,11657
113862,3,15247
113862,4,14492
113863,1,12795
113863,2,10747
113863,3,14501
113863,4,14825
113864,1,13554
113864,2,11917
113864,3,15120
113864,4,14631
113865,1,14658
113865,2,11798
113865,3,15317
113865,4,14804
113866,1,14674
113866,2,11936
113866,3,15312
113866,4,14771
113867,1,12722
113867,2,10592
113867,3,14584
113867,4,14388
113868,1,11999
113868,2,10308
113868,3,14049
113868,4,14320
113869,1,11939
113869,2,10434
113869,3,13673
113869,4,14163
113870,1,11486
113870,2,9152
113870,3,13959
113870,4,14407
113871,1,11403
113871,2,9492
113871,3,13544
113871,4,14571
113872,1,11184
113872,2,9445
113872,3,13295
113872,4,14431
113873,1,12811
113873,2,9590
113873,3,14780
113873,4,14881
113874,1,11826
113874,2,10683
113874,3,13735
113874,4,14601
113875,1,14057
113875,2,11355
113875,3,14801
113875,4,15175
113876,1,13335
113876,2,10905
113876,3,14778
113876,4,15312
113877,1,14091
113877,2,11060
113877,3,14770
113877,4,15528
113878,1,14390
113878,2,11492
113878,3,15217
113878,4,15605
113879,1,12892
113879,2,10924
113879,3,14595
113879,4,15756
113880,1,12612
113880,2,9931
113880,3,14086
113880,4,15891
113881,1,12645
113881,2,9080
113881,3,13568
113881,4,15530
113882,1,13376
113882,2,9671
113882,3,13371
113882,4,16086
113883,1,15119
113883,2,11320
113883,3,15106
113883,4,16141
113884,1,14441
113884,2,10679
113884,3,14825
113884,4,16724
113885,1,14550
113885,2,11589
113885,3,15273
113885,4,16978
113886,1,15742
113886,2,12372
113886,3,16352
113886,4,17044
113887,1,14660
113887,2,11117
113887,3,15721
113887,4,16883
113888,1,15011
113888,2,12254
113888,3,16368
113888,4,17287
113889,1,17371
113889,2,13774
113889,3,17707
113889,4,17457
113890,1,17320
113890,2,14388
113890,3,17629
113890,4,17879
113891,1,17586
113891,2,14683
113891,3,17902
113891,4,17926
113892,1,18179
113892,2,15206
113892,3,18467
113892,4,18409
113893,1,18648
113893,2,15568
113893,3,18705
113893,4,18627
113894,1,16850
113894,2,14529
113894,3,18383
113894,4,18480
113895,1,15866
113895,2,13073
113895,3,17382
113895,4,18347
113896,1,15223
113896,2,12365
113896,3,17396
113896,4,18686
113897,1,15538
113897,2,13021
113897,3,17794
113897,4,18603
113898,1,15911
113898,2,13675
113898,3,17835
113898,4,18770
113899,1,15165
113899,2,11567
113899,3,16195
113899,4,18520
113900,1,15128
113900,2,13052
113900,3,17070
113900,4,18533
113901,1,16330
113901,2,12800
113901,3,17470
113901,4,19050
113902,1,16815
113902,2,14094
113902,3,18926
113902,4,19802
113903,1,18355
113903,2,15918
113903,3,19586
113903,4,19814
113904,1,16213
113904,2,14353
113904,3,18815
113904,4,19719
113905,1,18688
113905,2,16033
113905,3,19856
113905,4,20072
113906,1,17213
113906,2,15478
113906,3,20295
113906,4,20876
113907,1,18086
113907,2,16071
113907,3,19833
113907,4,20757
113908,1,17295
113908,2,14896
113908,3,19840
113908,4,21154
113909,1,15101
113909,2,14041
113909,3,19547
113909,4,20980
113910,1,16242
113910,2,15808
113910,3,20892
113910,4,21292
113911,1,16105
113911,2,14697
113911,3,20568
113911,4,21897
113912,1,14630
113912,2,14322
113912,3,19153
113912,4,21569
113913,1,15188
113913,2,15405
113913,3,20490
113913,4,21489
113914,1,15868
113914,2,15579
113914,3,21166
113914,4,21812
113915,1,15104
113915,2,16293
113915,3,20282
113915,4,21814
113916,1,18346
113916,2,17537
113916,3,21770
113916,4,22472
113917,1,16406
113917,2,15796
113917,3,21572
113917,4,21756
113918,1,17218
113918,2,16773
113918,3,21447
113918,4,21943
113919,1,18591
113919,2,18345
113919,3,22082
113919,4,22601
113920,1,16403
113920,2,16984
113920,3,21465
113920,4,22850
113921,1,14773
113921,2,16557
113921,3,21105
113921,4,22103
113922,1,16440
113922,2,17193
113922,3,21024
113922,4,22278
113923,1,16357
113923,2,17389
113923,3,21152
113923,4,22770
113924,1,13883
113924,2,16528
113924,3,20584
113924,4,23504
113925,1,12230
113925,2,15089
113925,3,18093
113925,4,22899
113926,1,11694
113926,2,15808
113926,3,17767
113926,4,24122
113927,1,13914
113927,2,17527
113927,3,18735
113927,4,25345
113928,1,12014
113928,2,17668
113928,3,22298
113928,4,21444
113929,1,12391
113929,2,16916
113929,3,21680
113929,4,24040
113930,1,12805
113930,2,16583
113930,3,22224
113930,4,25411
113931,1,14676
113931,2,17741
113931,3,20728
113931,4,24613
113932,1,11965
113932,2,18487
113932,3,24440
113932,4,26801
113933,1,15740
113933,2,20390
113933,3,23817
113933,4,24924
113934,1,11679
113934,2,19524
113934,3,24373
113934,4,27172
113935,1,15434
113935,2,20525
113935,3,20137
113935,4,24443
113936,1,13350
113936,2,20977
113936,3,19714
113936,4,23766
113937,1,13690
113937,2,20062
113937,3,30069
113937,4,25668
113938,1,13401
113938,2,19606
113938,3,25463
113938,4,29062
113939,1,13249
113939,2,17346
113939,3,19409
113939,4,27591
113940,1,13646
113940,2,18896
113940,3,21902
113940,4,27555
114476,1,15922
114476,2,23619
114476,3,22331
114476,4,23806
114477,1,14785
114477,2,21619
114477,3,21937
114477,4,24287
114478,1,13646
114478,2,20564
114478,3,22388
114478,4,23812
114479,1,13857
114479,2,23111
114479,3,23550
114479,4,23228
114480,1,13392
114480,2,21377
114480,3,24113
114480,4,24373
114481,1,11562
114481,2,20210
114481,3,21925
114481,4,22632
114482,1,12063
114482,2,20523
114482,3,21941
114482,4,23480
114483,1,12450
114483,2,19906
114483,3,22735
114483,4,22892
114484,1,12539
114484,2,21716
114484,3,22063
114484,4,23027
114485,1,12510
114485,2,18389
114485,3,21029
114485,4,21892
114486,1,12724
114486,2,18789
114486,3,20630
114486,4,22358
114487,1,14189
114487,2,19139
114487,3,20811
114487,4,22320
114488,1,16011
114488,2,20625
114488,3,21997
114488,4,22186
114489,1,15857
114489,2,20422
114489,3,21846
114489,4,21875
114490,1,14215
114490,2,21044
114490,3,21687
114490,4,21514
114491,1,14993
114491,2,20316
114491,3,21140
114491,4,21664
114492,1,15475
114492,2,19784
114492,3,21513
114492,4,21220
114493,1,14580
114493,2,20260
114493,3,21663
114493,4,21313
114494,1,14409
114494,2,19260
114494,3,21173
114494,4,21270
114495,1,12698
114495,2,19579
114495,3,20036
114495,4,20187
114496,1,10746
114496,2,17959
114496,3,19108
114496,4,20295
114497,1,9206
114497,2,17943
114497,3,17652
114497,4,20487
114498,1,10332
114498,2,18500
114498,3,17668
114498,4,20147
114499,1,12896
114499,2,18868
114499,3,20006
114499,4,19498
114500,1,12817
114500,2,17716
114500,3,19032
114500,4,19820
114501,1,12222
114501,2,17166
114501,3,18613
114501,4,20099
114502,1,11214
114502,2,15918
114502,3,18440
114502,4,20182
114503,1,11229
114503,2,16765
114503,3,18605
114503,4,19812
114504,1,10239
114504,2,15357
114504,3,18236
114504,4,19567
114505,1,10834
114505,2,16039
114505,3,18809
114505,4,18384
114506,1,11879
114506,2,15839
114506,3,16618
114506,4,18123
114507,1,11777
114507,2,16364
114507,3,17761
114507,4,18500
114508,1,12187
114508,2,17055
114508,3,18723
114508,4,18707
114509,1,12990
114509,2,16211
114509,3,19155
114509,4,18361
114510,1,11787
114510,2,17219
114510,3,18411
114510,4,18336
114511,1,10298
114511,2,14837
114511,3,17830
114511,4,17979
114512,1,9702
114512,2,16246
114512,3,17242
114512,4,16882
114513,1,9496
114513,2,14484
114513,3,18475
114513,4,16671
114514,1,9561
114514,2,16280
114514,3,16430
114514,4,17847
114515,1,9274
114515,2,13525
114515,3,16771
114515,4,16133
114516,1,9445
114516,2,14043
114516,3,17050
114516,4,15530
114517,1,8297
114517,2,14541
114517,3,15697
114517,4,17318
114518,1,9781
114518,2,16206
114518,3,14128
114518,4,16201
114519,1,9739
114519,2,11016
114519,3,14546
114519,4,14257
114520,1,8079
114520,2,13838
114520,3,10068
114520,4,17071
114521,1,10373
114521,2,13101
114521,3,17420
114521,4,15647
114522,1,9909
114522,2,11480
114522,3,12924
114522,4,15571
114523,1,9327
114523,2,12166
114523,3,17829
114523,4,17640
114524,1,9363
114524,2,11615
114524,3,17549
114524,4,16094
114525,1,10997
114525,2,11126
114525,3,13179
114525,4,15053
114526,1,9293
114526,2,10614
114526,3,14030
114526,4,15828
114527,1,11277
114527,2,10901
114527,3,13657
114527,4,15426
114528,1,10885
114528,2,11160
114528,3,10882
114528,4,14735
114529,1,11649
114529,2,11243
114529,3,14265
114529,4,17304
